alpha body, Neutral Point
  -4.000000,    0.345960
  -3.517241,    0.346704
  -3.034483,    0.348183
  -2.551724,    0.349730
  -2.068966,    0.351400
  -1.586207,    0.353011
  -1.103448,    0.354525
  -0.620690,    0.356070
  -0.137931,    0.197625
   0.344828,    0.244197
   0.827586,    0.450828
   1.310345,    0.452513
   1.793103,    0.454240
   2.275862,    0.456037
   2.758621,    0.458068
   3.241379,    0.460461
   3.724138,    0.462806
   4.206897,    0.464870
   4.689655,    0.466918
   5.172414,    0.469252
   5.655172,    0.471650
   6.137931,    0.473896
   6.620690,    0.476208
   7.103448,    0.478712
   7.586207,    0.497766
   8.068966,    0.610325
   8.551724,    0.704739
   9.034483,    0.703922
   9.517241,    0.705508
  10.000000,    0.707487
