eta, Total_Load
   0.000000, 29394.519947
   0.020408, 29210.563566
   0.040816, 29225.910588
   0.061224, 29239.019495
   0.081633, 29245.889529
   0.102041, 29244.195210
   0.122449, 29232.432135
   0.142857, 29209.569745
   0.163265, 29174.873177
   0.183673, 29127.799850
   0.204082, 29067.934508
   0.224490, 28994.946065
   0.244898, 28908.557591
   0.265306, 28808.524608
   0.285714, 28694.618783
   0.306122, 28566.615165
   0.326531, 28424.281764
   0.346939, 28267.370621
   0.367347, 28095.609771
   0.387755, 27908.695621
   0.408163, 27706.285370
   0.428571, 27487.989150
   0.448980, 27253.361561
   0.469388, 27001.892305
   0.489796, 26732.995566
   0.510204, 26445.905855
   0.530612, 26139.810030
   0.551020, 25813.883231
   0.571429, 25467.077737
   0.591837, 25098.179057
   0.612245, 24705.775593
   0.632653, 24288.221487
   0.653061, 23843.590776
   0.673469, 23369.620381
   0.693878, 22863.638562
   0.714286, 22322.474307
   0.734694, 21742.341258
   0.755102, 21118.687043
   0.775510, 20445.994276
   0.795918, 19717.511605
   0.816327, 18924.878243
   0.836735, 18057.575981
   0.857143, 17102.081362
   0.877551, 16040.458880
   0.897959, 14847.836353
   0.918367, 13487.448756
   0.938776, 11899.691260
   0.959184, 9973.114749
   0.979592, 7437.557214
   1.000000,    0.000000
