Ground Roll distance, Vertical Forces
1102.171152, 35186.239787
1127.600859, 35002.891767
1302.339367, 33760.266032
1336.910223, 33517.953686
1371.356864, 33277.661511
1405.679879, 33039.368314
1439.879854, 32803.053178
1446.705136, 32756.025696
1446.814301, 32755.273892
1446.898002, 32754.697459
1446.940845, 32754.402412
1446.961230, 32754.262024
1446.969686, 32754.203795
1446.971595, 32754.190642
1446.972743, 32754.166931
1446.973795, 32754.143883
1446.984314, 32753.913398
1447.089500, 32751.608475
1448.141153, 32728.551348
1458.637254, 32497.191444
1482.658406, 31959.112982
1508.303142, 31371.076055
1624.563984, 28515.089105
1733.735340, 25513.469131
1831.515826, 22515.483450
1918.181631, 19570.812701
1994.375244, 16720.617290
2060.828596, 14001.843207
2118.287571, 11447.580987
2125.683314, 11103.531961
2129.818577, 10909.543964
2154.988122, 9704.139645
2176.747082, 8626.520588
2185.832295, 8166.271039
2189.793053, 7963.653130
2193.552673, 7770.186987
2228.554721, 5912.903032
2238.392255, 5371.509120
2246.230837, 4933.579412
2247.849672, 4842.393001
2249.706734, 4737.482265
2267.147071, 3736.342282
2293.383003, 2171.644387
2298.411724, 1862.798235
2302.830061, 1588.818558
2307.076341, 1323.075822
2308.451861, 1236.458341
2308.915100, 1207.227216
2309.369191, 1178.540887
2313.608570,  909.053896
2324.418374,  206.048333
2325.934085,  105.111807
2326.690411,   54.409148
2327.151878,   23.325477
2327.404815,    6.219746
2327.494735,    0.118392
2327.496117,    0.024415
2327.496453,    0.001589
2327.496475,    0.000074
