alpha body, CM
  -4.000000,    0.238132
  -3.517241,    0.242082
  -3.034483,    0.245940
  -2.551724,    0.249706
  -2.068966,    0.253374
  -1.586207,    0.256935
  -1.103448,    0.260401
  -0.620690,    0.263772
  -0.137931,    0.267044
   0.344828,    0.290246
   0.827586,    0.288231
   1.310345,    0.286112
   1.793103,    0.283883
   2.275862,    0.281544
   2.758621,    0.279089
   3.241379,    0.276495
   3.724138,    0.273767
   4.206897,    0.270881
   4.689655,    0.267866
   5.172414,    0.264718
   5.655172,    0.261409
   6.137931,    0.257957
   6.620690,    0.254359
   7.103448,    0.250610
   7.586207,    0.246690
   8.068966,    0.240646
   8.551724,    0.223256
   9.034483,    0.205882
   9.517241,    0.188519
  10.000000,    0.171099
