alpha body, CM
  -4.000000,    0.635387
  -3.517241,    0.639763
  -3.034483,    0.644018
  -2.551724,    0.648154
  -2.068966,    0.652163
  -1.586207,    0.656037
  -1.103448,    0.659789
  -0.620690,    0.663416
  -0.137931,    0.666917
   0.344828,    0.690320
   0.827586,    0.688478
   1.310345,    0.686503
   1.793103,    0.684391
   2.275862,    0.682140
   2.758621,    0.679744
   3.241379,    0.677182
   3.724138,    0.674457
   4.206897,    0.671547
   4.689655,    0.668479
   5.172414,    0.665249
   5.655172,    0.661831
   6.137931,    0.658241
   6.620690,    0.654477
   7.103448,    0.650533
   7.586207,    0.646392
   8.068966,    0.640097
   8.551724,    0.622429
   9.034483,    0.604747
   9.517241,    0.587050
  10.000000,    0.569266
