alpha body, CM
  -4.000000,    0.863826
  -3.517241,    0.868379
  -3.034483,    0.872796
  -2.551724,    0.877078
  -2.068966,    0.881218
  -1.586207,    0.885206
  -1.103448,    0.889057
  -0.620690,    0.892767
  -0.137931,    0.896335
   0.344828,    0.919789
   0.827586,    0.917983
   1.310345,    0.916027
   1.793103,    0.913919
   2.275862,    0.911655
   2.758621,    0.909232
   3.241379,    0.906625
   3.724138,    0.903841
   4.206897,    0.900855
   4.689655,    0.897696
   5.172414,    0.894359
   5.655172,    0.890818
   6.137931,    0.887089
   6.620690,    0.883170
   7.103448,    0.879057
   7.586207,    0.874729
   8.068966,    0.868232
   8.551724,    0.850346
   9.034483,    0.832431
   9.517241,    0.814485
  10.000000,    0.796437
