alpha body, CM
  -4.000000,    0.462202
  -3.517241,    0.466397
  -3.034483,    0.470483
  -2.551724,    0.474463
  -2.068966,    0.478327
  -1.586207,    0.482069
  -1.103448,    0.485701
  -0.620690,    0.489221
  -0.137931,    0.492627
   0.344828,    0.515946
   0.827586,    0.514034
   1.310345,    0.512000
   1.793103,    0.509841
   2.275862,    0.507556
   2.758621,    0.505139
   3.241379,    0.502566
   3.724138,    0.499845
   4.206897,    0.496949
   4.689655,    0.493908
   5.172414,    0.490718
   5.655172,    0.487352
   6.137931,    0.483826
   6.620690,    0.480138
   7.103448,    0.476283
   7.586207,    0.472242
   8.068966,    0.466060
   8.551724,    0.448518
   9.034483,    0.430974
   9.517241,    0.413426
  10.000000,    0.395805
