alpha body, CM
  -4.000000,   -0.000091
  -3.517241,    0.002990
  -3.034483,    0.005987
  -2.551724,    0.008901
  -2.068966,    0.011724
  -1.586207,    0.014449
  -1.103448,    0.017090
  -0.620690,    0.019645
  -0.137931,    0.022112
   0.344828,    0.044517
   0.827586,    0.041718
   1.310345,    0.038824
   1.793103,    0.035834
   2.275862,    0.032744
   2.758621,    0.029550
   3.241379,    0.026231
   3.724138,    0.022766
   4.206897,    0.019181
   4.689655,    0.015482
   5.172414,    0.011664
   5.655172,    0.007700
   6.137931,    0.003611
   6.620690,   -0.000608
   7.103448,   -0.004961
   7.586207,   -0.009464
   8.068966,   -0.015964
   8.551724,   -0.033144
   9.034483,   -0.050281
   9.517241,   -0.067379
  10.000000,   -0.084508
