alpha body, CM
  -4.000000,   -0.233081
  -3.517241,   -0.229665
  -3.034483,   -0.226308
  -2.551724,   -0.223009
  -2.068966,   -0.219775
  -1.586207,   -0.216614
  -1.103448,   -0.213515
  -0.620690,   -0.210477
  -0.137931,   -0.207505
   0.344828,   -0.184568
   0.827586,   -0.186815
   1.310345,   -0.189133
   1.793103,   -0.191526
   2.275862,   -0.193997
   2.758621,   -0.196550
   3.241379,   -0.199208
   3.724138,   -0.201965
   4.206897,   -0.204848
   4.689655,   -0.207825
   5.172414,   -0.210902
   5.655172,   -0.214106
   6.137931,   -0.217420
   6.620690,   -0.220846
   7.103448,   -0.224390
   7.586207,   -0.228070
   8.068966,   -0.233841
   8.551724,   -0.250924
   9.034483,   -0.267958
   9.517241,   -0.284947
  10.000000,   -0.301960
