alpha body, CM
  -4.000000,    0.719483
  -3.517241,    0.723905
  -3.034483,    0.728201
  -2.551724,    0.732372
  -2.068966,    0.736411
  -1.586207,    0.740309
  -1.103448,    0.744079
  -0.620690,    0.747719
  -0.137931,    0.751227
   0.344828,    0.774631
   0.827586,    0.772785
   1.310345,    0.770799
   1.793103,    0.768672
   2.275862,    0.766399
   2.758621,    0.763976
   3.241379,    0.761380
   3.724138,    0.758617
   4.206897,    0.755662
   4.689655,    0.752544
   5.172414,    0.749259
   5.655172,    0.745779
   6.137931,    0.742122
   6.620690,    0.738285
   7.103448,    0.734264
   7.586207,    0.730038
   8.068966,    0.723654
   8.551724,    0.705890
   9.034483,    0.688108
   9.517241,    0.670304
  10.000000,    0.652409
