Ground Roll distance, Vertical Forces
 347.614580, 425895.326105
 356.185595, 424187.797087
 416.157218, 412365.347582
 428.050267, 410046.635813
 439.909846, 407742.884453
 451.736077, 405453.968077
 463.529081, 403179.762579
 465.883705, 402726.675956
 466.100999, 402684.879967
 466.111317, 402682.895364
 466.120299, 402681.167831
 466.121990, 402680.842478
 466.122951, 402680.461997
 466.123831, 402680.097618
 466.132626, 402676.453825
 466.220570, 402640.015620
 467.099798, 402275.606158
 475.870135, 398628.824143
 533.510716, 374120.446862
 589.287516, 349485.799305
 643.129559, 324815.868209
 694.965767, 300208.808729
 744.725247, 275769.541271
 792.337589, 251609.204929
 837.733188, 227844.462090
 880.843583, 204596.652003
 921.601801, 181990.794889
 959.942720, 160154.452385
 995.803439, 139216.454667
1029.123642, 119305.509381
1059.845976, 100548.712252
1087.916411, 83069.983884
1113.284601, 66988.461415
1135.904225, 52416.877312
1155.733311, 39459.960293
1172.734540, 28212.895087
1186.875517, 18759.878243
1198.129015, 11172.806400
1206.473181, 5510.131299
1211.891706, 1815.912321
1214.373949,  119.092629
1214.548012,    0.000000
