eta, additional load
   0.000000, 3066.678390
   0.020408, 3020.499262
   0.040816, 3016.981016
   0.061224, 3010.024394
   0.081633, 2999.328881
   0.102041, 2984.755069
   0.122449, 2966.244566
   0.142857, 2943.787974
   0.163265, 2917.410095
   0.183673, 2887.164096
   0.204082, 2853.132245
   0.224490, 2815.433406
   0.244898, 2774.239764
   0.265306, 2729.808599
   0.285714, 2682.541995
   0.306122, 2633.107198
   0.326531, 2581.067585
   0.346939, 2521.120777
   0.367347, 2490.541216
   0.387755, 2450.785383
   0.408163, 2412.442350
   0.428571, 2374.831365
   0.448980, 2337.554568
   0.469388, 2300.350199
   0.489796, 2263.033162
   0.510204, 2225.466617
   0.530612, 2187.539766
   0.551020, 2149.161670
   0.571429, 2110.255318
   0.591837, 2070.749941
   0.612245, 2030.576580
   0.632653, 1989.663978
   0.653061, 1947.934320
   0.673469, 1905.298370
   0.693878, 1861.649460
   0.714286, 1816.855602
   0.734694, 1770.748695
   0.755102, 1723.109226
   0.775510, 1673.643969
   0.795918, 1621.952625
   0.816327, 1567.476540
   0.836735, 1509.417658
   0.857143, 1446.606232
   0.877551, 1377.276738
   0.897959, 1298.670508
   0.918367, 1206.288446
   0.938776, 1092.365572
   0.959184,  942.313528
   0.979592,  723.434782
   1.000000,    0.000000
