eta, additional load
   0.000000, 13057.485982
   0.020408, 12860.861739
   0.040816, 12845.881541
   0.061224, 12816.261219
   0.081633, 12770.721229
   0.102041, 12708.667984
   0.122449, 12629.852859
   0.142857, 12534.235847
   0.163265, 12421.922540
   0.183673, 12293.139321
   0.204082, 12148.236479
   0.224490, 11987.720119
   0.244898, 11812.323372
   0.265306, 11623.141711
   0.285714, 11421.887150
   0.306122, 11211.400725
   0.326531, 10989.823359
   0.346939, 10734.578267
   0.367347, 10604.374791
   0.387755, 10435.100039
   0.408163, 10271.840787
   0.428571, 10111.698491
   0.448980, 9952.979126
   0.469388, 9794.568146
   0.489796, 9635.677442
   0.510204, 9475.724371
   0.530612, 9314.237162
   0.551020, 9150.828619
   0.571429, 8985.170835
   0.591837, 8816.962486
   0.612245, 8645.909957
   0.632653, 8471.709841
   0.653061, 8294.030816
   0.673469, 8112.492929
   0.693878, 7926.641998
   0.714286, 7735.916042
   0.734694, 7539.599307
   0.755102, 7336.757134
   0.775510, 7126.141018
   0.795918, 6906.046532
   0.816327, 6674.095013
   0.836735, 6426.888443
   0.857143, 6159.446213
   0.877551, 5864.250962
   0.897959, 5529.556672
   0.918367, 5136.206823
   0.938776, 4651.139222
   0.959184, 4012.238690
   0.979592, 3080.283723
   1.000000,    0.000000
