eta, additional load
   0.000000, 53020.716348
   0.020408, 52222.311647
   0.040816, 52161.483641
   0.061224, 52041.208520
   0.081633, 51856.290620
   0.102041, 51604.319643
   0.122449, 51284.286031
   0.142857, 50896.027336
   0.163265, 50439.972319
   0.183673, 49917.040225
   0.204082, 49328.653418
   0.224490, 48676.866970
   0.244898, 47964.657805
   0.265306, 47196.474159
   0.285714, 46379.267768
   0.306122, 45524.574832
   0.326531, 44624.846457
   0.346939, 43588.408228
   0.367347, 43059.709091
   0.387755, 42372.358659
   0.408163, 41709.434536
   0.428571, 41059.166999
   0.448980, 40414.677356
   0.469388, 39771.439936
   0.489796, 39126.254564
   0.510204, 38476.755385
   0.530612, 37821.026749
   0.551020, 37157.496414
   0.571429, 36484.832902
   0.591837, 35801.812665
   0.612245, 35107.243463
   0.632653, 34399.893295
   0.653061, 33678.416803
   0.673469, 32941.271167
   0.693878, 32186.612152
   0.714286, 31412.157802
   0.734694, 30615.001756
   0.755102, 29791.348769
   0.775510, 28936.129212
   0.795918, 28042.422159
   0.816327, 27100.568905
   0.836735, 26096.771586
   0.857143, 25010.806137
   0.877551, 23812.147857
   0.897959, 22453.101329
   0.918367, 20855.880330
   0.938776, 18886.233820
   0.959184, 16291.939336
   0.979592, 12507.679486
   1.000000,    0.000000
