eta, cCl
   0.000000,    0.520097
   0.020408,    0.518521
   0.040816,    0.519175
   0.061224,    0.519913
   0.081633,    0.520625
   0.102041,    0.521247
   0.122449,    0.521738
   0.142857,    0.522072
   0.163265,    0.522228
   0.183673,    0.522193
   0.204082,    0.521953
   0.224490,    0.521500
   0.244898,    0.520827
   0.265306,    0.519925
   0.285714,    0.518787
   0.306122,    0.517406
   0.326531,    0.515776
   0.346939,    0.513888
   0.367347,    0.511733
   0.387755,    0.509303
   0.408163,    0.506587
   0.428571,    0.503574
   0.448980,    0.500250
   0.469388,    0.496602
   0.489796,    0.492613
   0.510204,    0.488261
   0.530612,    0.483524
   0.551020,    0.478384
   0.571429,    0.472813
   0.591837,    0.466782
   0.612245,    0.460258
   0.632653,    0.453202
   0.653061,    0.445572
   0.673469,    0.437317
   0.693878,    0.428382
   0.714286,    0.418702
   0.734694,    0.408203
   0.755102,    0.396796
   0.775510,    0.384380
   0.795918,    0.370831
   0.816327,    0.356002
   0.836735,    0.339705
   0.857143,    0.321701
   0.877551,    0.301671
   0.897959,    0.279167
   0.918367,    0.253515
   0.938776,    0.223618
   0.959184,    0.187406
   0.979592,    0.139859
   1.000000,    0.000000
