CL_e, CD_e
   0.161680,   -0.391844
   0.160946,   -0.312264
   0.160228,   -0.232443
   0.159540,   -0.152384
   0.158901,   -0.072088
   0.158326,    0.008444
   0.157836,    0.089210
   0.157449,    0.170211
   0.157170,    0.251445
   0.157010,    0.333993
   0.157003,    0.414668
   0.157149,    0.495578
   0.157454,    0.576724
   0.157930,    0.658108
   0.158597,    0.739730
   0.159465,    0.821593
   0.160533,    0.903696
   0.161814,    0.986044
   0.163322,    1.068636
   0.165086,    1.151475
   0.167094,    1.234562
   0.169356,    1.317902
   0.171886,    1.401495
   0.174703,    1.482959
   0.177847,    1.552796
   0.181308,    1.604026
   0.185145,    1.634648
   0.189638,    1.647702
   0.193958,    1.651244
