CL_e, CD_e
   0.161680,   -0.366794
   0.160946,   -0.288853
   0.160228,   -0.210918
   0.159540,   -0.132988
   0.158901,   -0.055060
   0.158326,    0.022867
   0.157836,    0.100797
   0.157449,    0.178730
   0.157170,    0.256670
   0.157009,    0.335659
   0.157008,    0.412625
   0.157166,    0.489605
   0.157491,    0.566600
   0.158008,    0.643614
   0.158706,    0.720647
   0.159634,    0.797703
   0.160767,    0.874784
   0.162164,    0.951892
   0.163831,    1.029030
   0.166513,    1.106199
   0.168737,    1.183402
