alpha body, CLh_e
 -10.000000,   -0.593321
  -9.000000,   -0.529778
  -8.000000,   -0.467087
  -7.000000,   -0.405254
  -6.000000,   -0.344286
  -5.000000,   -0.284117
  -4.000000,   -0.224779
  -3.000000,   -0.166319
  -2.000000,   -0.106787
  -1.000000,   -0.049703
   0.000000,    0.006507
   1.000000,    0.061901
   2.000000,    0.116430
   3.000000,    0.170065
   4.000000,    0.222800
   5.000000,    0.274629
   6.000000,    0.325632
   7.000000,    0.375791
   8.000000,    0.425077
   9.000000,    0.473467
  10.000000,    0.520965
  11.000000,    0.567562
  12.000000,    0.611874
  13.000000,    0.651511
  14.000000,    0.685428
  15.000000,    0.713942
  16.000000,    0.738508
  17.000000,    0.761544
  18.000000,    0.782405
  19.000000,    0.801944
  20.000000,    0.828525
