alpha body, CLh_e
 -10.000000,   -0.592472
  -9.000000,   -0.529041
  -8.000000,   -0.466462
  -7.000000,   -0.404739
  -6.000000,   -0.343883
  -5.000000,   -0.283824
  -4.000000,   -0.224597
  -3.000000,   -0.166248
  -2.000000,   -0.106826
  -1.000000,   -0.049852
   0.000000,    0.006248
   1.000000,    0.061533
   2.000000,    0.115953
   3.000000,    0.169479
   4.000000,    0.222106
   5.000000,    0.273827
   6.000000,    0.324722
   7.000000,    0.374774
   8.000000,    0.423953
   9.000000,    0.472237
  10.000000,    0.519629
  11.000000,    0.566119
  12.000000,    0.610333
  13.000000,    0.649887
  14.000000,    0.683744
  15.000000,    0.712221
  16.000000,    0.736769
  17.000000,    0.759797
  18.000000,    0.780648
  19.000000,    0.800161
  20.000000,    0.826673
