alpha body, CLh_e
 -10.000000,   -0.338079
  -9.000000,   -0.308105
  -8.000000,   -0.278941
  -7.000000,   -0.250583
  -6.000000,   -0.223031
  -5.000000,   -0.196210
  -4.000000,   -0.170150
  -3.000000,   -0.144891
  -2.000000,   -0.118591
  -1.000000,   -0.094559
   0.000000,   -0.071309
   1.000000,   -0.048785
   2.000000,   -0.027028
   3.000000,   -0.006064
   4.000000,    0.014107
   5.000000,    0.033482
   6.000000,    0.052132
   7.000000,    0.070043
   8.000000,    0.087192
   9.000000,    0.103561
  10.000000,    0.119155
  11.000000,    0.134008
  12.000000,    0.148475
  13.000000,    0.163305
  14.000000,    0.179198
  15.000000,    0.196655
  16.000000,    0.215810
