alpha body, CLh_e
 -10.000000,   -0.491340
  -9.000000,   -0.441210
  -8.000000,   -0.391914
  -7.000000,   -0.343456
  -6.000000,   -0.295839
  -5.000000,   -0.248994
  -4.000000,   -0.202952
  -3.000000,   -0.157758
  -2.000000,   -0.111503
  -1.000000,   -0.067625
   0.000000,   -0.024584
   1.000000,    0.017677
   2.000000,    0.059112
   3.000000,    0.099693
   4.000000,    0.139417
   5.000000,    0.178279
   6.000000,    0.216356
   7.000000,    0.253630
   8.000000,    0.290076
   9.000000,    0.325672
  10.000000,    0.360423
  11.000000,    0.394336
  12.000000,    0.426725
  13.000000,    0.456450
  14.000000,    0.483165
  15.000000,    0.507261
  16.000000,    0.529666
  17.000000,    0.551682
  18.000000,    0.571396
  19.000000,    0.587800
  20.000000,    0.606106
