alpha body, CLh_e
 -10.000000,   -0.362961
  -9.090909,   -0.333409
  -8.181818,   -0.304391
  -7.272727,   -0.275862
  -6.363636,   -0.247889
  -5.454545,   -0.220504
  -4.545455,   -0.193675
  -3.636364,   -0.167337
  -2.727273,   -0.141565
  -1.818182,   -0.114466
  -0.909091,   -0.089506
  -0.000000,   -0.065049
   0.909091,   -0.041157
   1.818182,   -0.017854
   2.727273,    0.004884
   3.636364,    0.027115
   4.545455,    0.048777
   5.454545,    0.069854
   6.363636,    0.090374
   7.272727,    0.110381
   8.181818,    0.129825
   9.090909,    0.148687
  10.000000,    0.167007
  10.909091,    0.184812
  11.818182,    0.202100
  12.727273,    0.219043
  13.636364,    0.235974
  14.545455,    0.253227
  15.454545,    0.271022
