alpha body, CLh_e
 -10.000000,   -0.493960
  -9.090909,   -0.448098
  -8.181818,   -0.402901
  -7.272727,   -0.358315
  -6.363636,   -0.314419
  -5.454545,   -0.271250
  -4.545455,   -0.228771
  -3.636364,   -0.186903
  -2.727273,   -0.145736
  -1.818182,   -0.103321
  -0.909091,   -0.063231
  -0.000000,   -0.023762
   0.909091,    0.015007
   1.818182,    0.053047
   2.727273,    0.090388
   3.636364,    0.127104
   4.545455,    0.163117
   5.454545,    0.198406
   6.363636,    0.233007
   7.272727,    0.266978
   8.181818,    0.300253
   9.090909,    0.332808
  10.000000,    0.364695
  10.909091,    0.395941
  11.818182,    0.425971
  12.727273,    0.453818
  13.636364,    0.479140
  14.545455,    0.502105
  15.454545,    0.523221
  16.363636,    0.543323
  17.272727,    0.563191
  18.181818,    0.580060
  19.090909,    0.595192
  20.000000,    0.612173
