alpha body, CLh_e
 -10.000000,   -0.596887
  -9.090909,   -0.538717
  -8.181818,   -0.481228
  -7.272727,   -0.424366
  -6.363636,   -0.368213
  -5.454545,   -0.312809
  -4.545455,   -0.258117
  -3.636364,   -0.204061
  -2.727273,   -0.150732
  -1.818182,   -0.096136
  -0.909091,   -0.043934
  -0.000000,    0.007618
   0.909091,    0.058439
   1.818182,    0.108496
   2.727273,    0.157821
   3.636364,    0.206490
   4.545455,    0.254419
   5.454545,    0.301587
   6.363636,    0.348031
   7.272727,    0.393812
   8.181818,    0.438858
   9.090909,    0.483145
  10.000000,    0.526727
  10.909091,    0.569625
  11.818182,    0.610777
  12.727273,    0.648216
  13.636364,    0.680970
  14.545455,    0.709007
  15.454545,    0.733045
  16.363636,    0.754540
  17.272727,    0.775259
  18.181818,    0.793356
  19.090909,    0.811827
  20.000000,    0.836661
