alpha body, CLh_e
 -10.000000,   -0.339847
  -9.090909,   -0.312413
  -8.181818,   -0.285623
  -7.272727,   -0.259417
  -6.363636,   -0.233873
  -5.454545,   -0.209025
  -4.545455,   -0.184831
  -3.636364,   -0.161213
  -2.727273,   -0.138255
  -1.818182,   -0.114079
  -0.909091,   -0.092124
  -0.000000,   -0.070747
   0.909091,   -0.050023
   1.818182,   -0.029977
   2.727273,   -0.010579
   3.636364,    0.008241
   4.545455,    0.026410
   5.454545,    0.043913
   6.363636,    0.060782
   7.272727,    0.077070
   8.181818,    0.092719
   9.090909,    0.107709
  10.000000,    0.122085
  10.909091,    0.135884
  11.818182,    0.149260
  12.727273,    0.162746
  13.636364,    0.176940
  14.545455,    0.192311
  15.454545,    0.209051
