alpha body, CLh_e
 -10.000000,   -0.491650
  -9.000000,   -0.441479
  -8.000000,   -0.392143
  -7.000000,   -0.343644
  -6.000000,   -0.295986
  -5.000000,   -0.249101
  -4.000000,   -0.203019
  -3.000000,   -0.157784
  -2.000000,   -0.111489
  -1.000000,   -0.067571
   0.000000,   -0.024489
   1.000000,    0.017811
   2.000000,    0.059286
   3.000000,    0.099907
   4.000000,    0.139671
   5.000000,    0.178573
   6.000000,    0.216689
   7.000000,    0.254002
   8.000000,    0.290487
   9.000000,    0.326122
  10.000000,    0.360912
  11.000000,    0.394864
  12.000000,    0.427289
  13.000000,    0.457044
  14.000000,    0.483781
  15.000000,    0.507891
  16.000000,    0.530302
  17.000000,    0.552321
  18.000000,    0.572039
  19.000000,    0.588453
  20.000000,    0.606784
