eta, total load
   0.000000, 50360.616311
   0.020408, 49987.087962
   0.040816, 49943.629951
   0.061224, 49861.440435
   0.081633, 49738.535909
   0.102041, 49574.764444
   0.122449, 49370.894431
   0.142857, 49128.179398
   0.163265, 48848.110376
   0.183673, 48532.269752
   0.204082, 48182.248226
   0.224490, 47799.605070
   0.244898, 47385.863899
   0.265306, 46942.554695
   0.285714, 46463.415095
   0.306122, 45956.209596
   0.326531, 45449.583670
   0.346939, 44901.353381
   0.367347, 44330.355630
   0.387755, 43737.895483
   0.408163, 43125.098614
   0.428571, 42492.942369
   0.448980, 41842.264910
   0.469388, 41173.767757
   0.489796, 40488.014933
   0.510204, 39785.270729
   0.530612, 39065.795665
   0.551020, 38329.848921
   0.571429, 37577.356947
   0.591837, 36808.046549
   0.612245, 36021.414603
   0.632653, 35216.687631
   0.653061, 34392.768045
   0.673469, 33548.162509
   0.693878, 32680.885951
   0.714286, 31788.331829
   0.734694, 30867.094783
   0.755102, 29912.724749
   0.775510, 28919.380279
   0.795918, 27879.329866
   0.816327, 26782.217383
   0.836735, 25613.948732
   0.857143, 24354.944463
   0.877551, 22977.274664
   0.897959, 21439.686415
   0.918367, 19678.278035
   0.938776, 17586.913824
   0.959184, 14967.891869
   0.979592, 11357.725189
   1.000000,    0.000000
