eta, total load
   0.000000, 14576.749678
   0.020408, 14467.923333
   0.040816, 14453.229071
   0.061224, 14425.905684
   0.081633, 14385.336421
   0.102041, 14331.409669
   0.122449, 14264.253329
   0.142857, 14184.104497
   0.163265, 14091.230905
   0.183673, 13985.878306
   0.204082, 13868.230788
   0.224490, 13738.374413
   0.244898, 13596.253322
   0.265306, 13441.598446
   0.285714, 13271.493245
   0.306122, 13085.603768
   0.326531, 12889.679348
   0.346939, 12675.093258
   0.367347, 12449.585829
   0.387755, 12214.807051
   0.408163, 11971.995599
   0.428571, 11722.155523
   0.448980, 11466.130224
   0.469388, 11204.641292
   0.489796, 10938.311584
   0.510204, 10667.614112
   0.530612, 10393.017373
   0.551020, 10114.980634
   0.571429, 9833.829297
   0.591837, 9549.823005
   0.612245, 9263.153453
   0.632653, 8973.939531
   0.653061, 8682.219337
   0.673469, 8387.938261
   0.693878, 8090.931971
   0.714286, 7790.902477
   0.734694, 7487.384595
   0.755102, 7179.698667
   0.775510, 6866.883152
   0.795918, 6547.596882
   0.816327, 6219.974206
   0.836735, 5881.404375
   0.857143, 5528.183812
   0.877551, 5154.943696
   0.897959, 4753.652543
   0.918367, 4311.737748
   0.938776, 3808.122372
   0.959184, 3203.190442
   0.979592, 2403.141418
   1.000000,    0.000000
