alpha body, d_epsilon/d_alpha
  -4.000000,    0.397927
  -3.517241,    0.397927
  -3.034483,    0.397927
  -2.551724,    0.397927
  -2.068966,    0.397927
  -1.586207,    0.397927
  -1.103448,    0.397927
  -0.620690,    0.397927
  -0.137931,    0.397927
   0.344828,    0.397927
   0.827586,    0.397927
   1.310345,    0.397927
   1.793103,    0.397927
   2.275862,    0.397927
   2.758621,    0.397927
   3.241379,    0.397927
   3.724138,    0.397927
   4.206897,    0.397927
   4.689655,    0.397927
   5.172414,    0.397927
   5.655172,    0.397927
   6.137931,    0.397927
   6.620690,    0.397927
   7.103448,    0.397927
   7.586207,    0.397927
   8.068966,    0.397927
