alpha body, d_epsilon/d_alpha
  -4.000000,    0.316499
  -3.517241,    0.359127
  -3.034483,    0.402888
  -2.551724,    0.405234
  -2.068966,    0.407514
  -1.586207,    0.409627
  -1.103448,    0.411703
  -0.620690,    0.413745
  -0.137931,    0.415883
   0.344828,    0.417976
   0.827586,    0.419895
   1.310345,    0.421777
   1.793103,    0.423624
   2.275862,    0.425544
   2.758621,    0.427438
   3.241379,    0.429180
   3.724138,    0.430875
   4.206897,    0.432535
   4.689655,    0.434244
   5.172414,    0.434216
   5.655172,    0.423742
   6.137931,    0.406583
   6.620690,    0.397865
   7.103448,    0.395228
   7.586207,    0.336644
   8.068966,    0.123185
