eta, M
   0.000000, 7856.534171
   0.020408, 7476.738624
   0.040816, 7123.797162
   0.061224, 6768.575305
   0.081633, 6411.444735
   0.102041, 6052.806120
   0.122449, 5693.074519
   0.142857, 5332.672348
   0.163265, 4972.025206
   0.183673, 4611.559249
   0.204082, 4251.699590
   0.224490, 3892.869475
   0.244898, 3535.490069
   0.265306, 3179.980735
   0.285714, 2826.759744
   0.306122, 2476.245335
   0.326531, 2128.857100
   0.346939, 1785.017679
   0.367347, 1445.154731
   0.387755, 1109.703214
   0.408163,  779.107990
   0.428571,  453.826775
   0.448980,  134.333509
   0.469388, -178.877804
   0.489796, -485.288690
   0.510204, -784.345849
   0.530612, -1075.458152
   0.551020, -1358.000622
   0.571429, -1631.294174
   0.591837, -1894.598799
   0.612245, -2147.101759
   0.632653, -2387.903277
   0.653061, -2615.999032
   0.673469, -2830.258493
   0.693878, -3029.397804
   0.714286, -3211.945373
   0.734694, -3376.197539
   0.755102, -3520.160463
   0.775510, -3641.472384
   0.795918, -3737.297107
   0.816327, -3804.173831
   0.836735, -3837.797959
   0.857143, -3832.687220
   0.877551, -3781.645146
   0.897959, -3674.837770
   0.918367, -3498.053997
   0.938776, -3228.988644
   0.959184, -2827.644016
   0.979592, -2201.769804
   1.000000,    0.000000
