Time, Altitude
-149.354332,  457.200000
-149.254332,  456.902926
-149.154332,  456.605855
-149.054332,  456.308784
-148.954332,  456.011852
-148.854332,  455.714931
-148.754332,  455.418010
-148.654332,  455.121089
-148.554332,  454.824168
-148.454332,  454.527247
-148.354332,  454.230327
-148.254332,  453.933406
-148.154332,  453.636485
-148.054332,  453.339564
-147.954332,  453.042848
-147.854332,  452.746150
-147.754332,  452.449452
-147.654332,  452.152754
-147.554332,  451.856055
-147.454332,  451.559357
-147.354332,  451.262659
-147.254332,  450.965961
-147.154332,  450.669263
-147.054332,  450.372564
-146.954332,  450.075958
-146.854332,  449.779360
-146.754332,  449.482761
-146.654332,  449.186163
-146.554332,  448.889565
-146.454332,  448.592967
-146.354332,  448.296368
-146.254332,  447.999770
-146.154332,  447.703172
-146.054332,  447.406573
-145.954332,  447.110037
-145.854332,  446.813507
-145.754332,  446.516976
-145.654332,  446.220446
-145.554332,  445.923915
-145.454332,  445.627385
-145.354332,  445.330854
-145.254332,  445.034324
-145.154332,  444.737793
-145.054332,  444.441263
-144.954332,  444.144598
-144.854332,  443.847922
-144.754332,  443.551246
-144.654332,  443.254570
-144.554332,  442.957895
-144.454332,  442.661219
-144.354332,  442.364543
-144.254332,  442.067867
-144.154332,  441.771191
-144.054332,  441.474515
-143.954332,  441.177881
-143.854332,  440.881251
-143.754332,  440.584621
-143.654332,  440.287991
-143.554332,  439.991361
-143.454332,  439.694730
-143.354332,  439.398100
-143.254332,  439.101470
-143.154332,  438.804840
-143.054332,  438.508210
-142.954332,  438.211693
-142.854332,  437.915187
-142.754332,  437.618681
-142.654332,  437.322174
-142.554332,  437.025668
-142.454332,  436.729161
-142.354332,  436.432655
-142.254332,  436.136148
-142.154332,  435.839642
-142.054332,  435.543135
-141.954332,  435.246713
-141.854332,  434.950298
-141.754332,  434.653883
-141.654332,  434.357468
-141.554332,  434.061053
-141.454332,  433.764638
-141.354332,  433.468223
-141.254332,  433.171808
-141.154332,  432.875393
-141.054332,  432.578978
-140.954332,  432.282450
-140.854332,  431.985911
-140.754332,  431.689373
-140.654332,  431.392835
-140.554332,  431.096297
-140.454332,  430.799758
-140.354332,  430.503220
-140.254332,  430.206682
-140.154332,  429.910143
-140.054332,  429.613605
-139.954332,  429.317127
-139.854332,  429.020654
-139.754332,  428.724181
-139.654332,  428.427708
-139.554332,  428.131234
-139.454332,  427.834761
-139.354332,  427.538288
-139.254332,  427.241815
-139.154332,  426.945342
-139.054332,  426.648869
-138.954332,  426.352525
-138.854332,  426.056191
-138.754332,  425.759858
-138.654332,  425.463525
-138.554332,  425.167191
-138.454332,  424.870858
-138.354332,  424.574525
-138.254332,  424.278191
-138.154332,  423.981858
-138.054332,  423.685525
-137.954332,  423.389287
-137.854332,  423.093057
-137.754332,  422.796827
-137.654332,  422.500597
-137.554332,  422.204367
-137.454332,  421.908137
-137.354332,  421.611907
-137.254332,  421.315678
-137.154332,  421.019448
-137.054332,  420.723218
-136.954332,  420.426879
-136.854332,  420.130532
-136.754332,  419.834184
-136.654332,  419.537836
-136.554332,  419.241489
-136.454332,  418.945141
-136.354332,  418.648793
-136.254332,  418.352446
-136.154332,  418.056098
-136.054332,  417.759750
-135.954332,  417.463464
-135.854332,  417.167183
-135.754332,  416.870902
-135.654332,  416.574621
-135.554332,  416.278340
-135.454332,  415.982058
-135.354332,  415.685777
-135.254332,  415.389496
-135.154332,  415.093215
-135.054332,  414.796934
-134.954332,  414.500778
-134.854332,  414.204633
-134.754332,  413.908488
-134.654332,  413.612343
-134.554332,  413.316198
-134.454332,  413.020053
-134.354332,  412.723908
-134.254332,  412.427763
-134.154332,  412.131618
-134.054332,  411.835473
-133.954332,  411.539416
-133.854332,  411.243365
-133.754332,  410.947315
-133.654332,  410.651265
-133.554332,  410.355215
-133.454332,  410.059165
-133.354332,  409.763114
-133.254332,  409.467064
-133.154332,  409.171014
-133.054332,  408.874964
-132.954332,  408.578794
-132.854332,  408.282615
-132.754332,  407.986435
-132.654332,  407.690255
-132.554332,  407.394075
-132.454332,  407.097896
-132.354332,  406.801716
-132.254332,  406.505536
-132.154332,  406.209356
-132.054332,  405.913177
-131.954332,  405.617044
-131.854332,  405.320916
-131.754332,  405.024788
-131.654332,  404.728660
-131.554332,  404.432531
-131.454332,  404.136403
-131.354332,  403.840275
-131.254332,  403.544147
-131.154332,  403.248019
-131.054332,  402.951890
-130.954332,  402.655872
-130.854332,  402.359863
-130.754332,  402.063854
-130.654332,  401.767845
-130.554332,  401.471836
-130.454332,  401.175827
-130.354332,  400.879818
-130.254332,  400.583809
-130.154332,  400.287800
-130.054332,  399.991791
-129.954332,  399.695853
-129.854332,  399.399921
-129.754332,  399.103989
-129.654332,  398.808057
-129.554332,  398.512125
-129.454332,  398.216193
-129.354332,  397.920261
-129.254332,  397.624329
-129.154332,  397.328397
-129.054332,  397.032465
-128.954332,  396.736398
-128.854332,  396.440318
-128.754332,  396.144239
-128.654332,  395.848159
-128.554332,  395.552080
-128.454332,  395.256000
-128.354332,  394.959921
-128.254332,  394.663841
-128.154332,  394.367762
-128.054332,  394.071682
-127.954332,  393.775635
-127.854332,  393.479591
-127.754332,  393.183546
-127.654332,  392.887502
-127.554332,  392.591458
-127.454332,  392.295413
-127.354332,  391.999369
-127.254332,  391.703324
-127.154332,  391.407280
-127.054332,  391.111236
-126.954332,  390.815288
-126.854332,  390.519349
-126.754332,  390.223409
-126.654332,  389.927470
-126.554332,  389.631531
-126.454332,  389.335591
-126.354332,  389.039652
-126.254332,  388.743713
-126.154332,  388.447774
-126.054332,  388.151834
-125.954332,  387.855955
-125.854332,  387.560082
-125.754332,  387.264208
-125.654332,  386.968335
-125.554332,  386.672461
-125.454332,  386.376587
-125.354332,  386.080714
-125.254332,  385.784840
-125.154332,  385.488966
-125.054332,  385.193093
-124.954332,  384.897076
-124.854332,  384.601046
-124.754332,  384.305017
-124.654332,  384.008987
-124.554332,  383.712958
-124.454332,  383.416929
-124.354332,  383.120899
-124.254332,  382.824870
-124.154332,  382.528841
-124.054332,  382.232811
-123.954332,  381.936810
-123.854332,  381.640812
-123.754332,  381.344814
-123.654332,  381.048815
-123.554332,  380.752817
-123.454332,  380.456818
-123.354332,  380.160820
-123.254332,  379.864821
-123.154332,  379.568823
-123.054332,  379.272824
-122.954332,  378.976923
-122.854332,  378.681029
-122.754332,  378.385136
-122.654332,  378.089242
-122.554332,  377.793348
-122.454332,  377.497455
-122.354332,  377.201561
-122.254332,  376.905668
-122.154332,  376.609774
-122.054332,  376.313881
-121.954332,  376.018051
-121.854332,  375.722226
-121.754332,  375.426402
-121.654332,  375.130577
-121.554332,  374.834753
-121.454332,  374.538928
-121.354332,  374.243104
-121.254332,  373.947279
-121.154332,  373.651455
-121.054332,  373.355631
-120.954332,  373.059669
-120.854332,  372.763695
-120.754332,  372.467721
-120.654332,  372.171747
-120.554332,  371.875774
-120.454332,  371.579800
-120.354332,  371.283826
-120.254332,  370.987852
-120.154332,  370.691879
-120.054332,  370.395905
-119.954332,  370.099969
-119.854332,  369.804035
-119.754332,  369.508102
-119.654332,  369.212169
-119.554332,  368.916235
-119.454332,  368.620302
-119.354332,  368.324369
-119.254332,  368.028436
-119.154332,  367.732502
-119.054332,  367.436569
-118.954332,  367.140743
-118.854332,  366.844927
-118.754332,  366.549110
-118.654332,  366.253294
-118.554332,  365.957477
-118.454332,  365.661660
-118.354332,  365.365844
-118.254332,  365.070027
-118.154332,  364.774211
-118.054332,  364.478394
-117.954332,  364.182653
-117.854332,  363.886919
-117.754332,  363.591184
-117.654332,  363.295450
-117.554332,  362.999716
-117.454332,  362.703981
-117.354332,  362.408247
-117.254332,  362.112512
-117.154332,  361.816778
-117.054332,  361.521044
-116.954332,  361.225184
-116.854332,  360.929313
-116.754332,  360.633443
-116.654332,  360.337573
-116.554332,  360.041702
-116.454332,  359.745832
-116.354332,  359.449961
-116.254332,  359.154091
-116.154332,  358.858221
-116.054332,  358.562350
-115.954332,  358.266529
-115.854332,  357.970713
-115.754332,  357.674896
-115.654332,  357.379080
-115.554332,  357.083263
-115.454332,  356.787446
-115.354332,  356.491630
-115.254332,  356.195813
-115.154332,  355.899996
-115.054332,  355.604180
-114.954332,  355.308482
-114.854332,  355.012794
-114.754332,  354.717107
-114.654332,  354.421419
-114.554332,  354.125732
-114.454332,  353.830044
-114.354332,  353.534356
-114.254332,  353.238669
-114.154332,  352.942981
-114.054332,  352.647293
-113.954332,  352.351691
-113.854332,  352.056096
-113.754332,  351.760502
-113.654332,  351.464907
-113.554332,  351.169312
-113.454332,  350.873717
-113.354332,  350.578122
-113.254332,  350.282527
-113.154332,  349.986932
-113.054332,  349.691338
-112.954332,  349.395625
-112.854332,  349.099902
-112.754332,  348.804179
-112.654332,  348.508456
-112.554332,  348.212733
-112.454332,  347.917010
-112.354332,  347.621288
-112.254332,  347.325565
-112.154332,  347.029842
-112.054332,  346.734119
-111.954332,  346.438451
-111.854332,  346.142787
-111.754332,  345.847124
-111.654332,  345.551460
-111.554332,  345.255797
-111.454332,  344.960133
-111.354332,  344.664470
-111.254332,  344.368806
-111.154332,  344.073143
-111.054332,  343.777479
-110.954332,  343.481937
-110.854332,  343.186406
-110.754332,  342.890874
-110.654332,  342.595343
-110.554332,  342.299811
-110.454332,  342.004279
-110.354332,  341.708748
-110.254332,  341.413216
-110.154332,  341.117684
-110.054332,  340.822153
-109.954332,  340.526707
-109.854332,  340.231268
-109.754332,  339.935829
-109.654332,  339.640390
-109.554332,  339.344951
-109.454332,  339.049512
-109.354332,  338.754073
-109.254332,  338.458634
-109.154332,  338.163195
-109.054332,  337.867756
-108.954332,  337.572196
-108.854332,  337.276626
-108.754332,  336.981056
-108.654332,  336.685486
-108.554332,  336.389916
-108.454332,  336.094346
-108.354332,  335.798775
-108.254332,  335.503205
-108.154332,  335.207635
-108.054332,  334.912065
-107.954332,  334.616545
-107.854332,  334.321028
-107.754332,  334.025512
-107.654332,  333.729996
-107.554332,  333.434480
-107.454332,  333.138964
-107.354332,  332.843448
-107.254332,  332.547932
-107.154332,  332.252415
-107.054332,  331.956899
-106.954332,  331.661498
-106.854332,  331.366106
-106.754332,  331.070715
-106.654332,  330.775323
-106.554332,  330.479932
-106.454332,  330.184540
-106.354332,  329.889148
-106.254332,  329.593757
-106.154332,  329.298365
-106.054332,  329.002974
-105.954332,  328.707659
-105.854332,  328.412351
-105.754332,  328.117044
-105.654332,  327.821736
-105.554332,  327.526428
-105.454332,  327.231120
-105.354332,  326.935812
-105.254332,  326.640505
-105.154332,  326.345197
-105.054332,  326.049889
-104.954332,  325.754451
-104.854332,  325.459002
-104.754332,  325.163553
-104.654332,  324.868103
-104.554332,  324.572654
-104.454332,  324.277205
-104.354332,  323.981756
-104.254332,  323.686307
-104.154332,  323.390858
-104.054332,  323.095409
-103.954332,  322.800000
-103.854332,  322.504594
-103.754332,  322.209189
-103.654332,  321.913784
-103.554332,  321.618378
-103.454332,  321.322973
-103.354332,  321.027568
-103.254332,  320.732162
-103.154332,  320.436757
-103.054332,  320.141352
-102.954332,  319.846052
-102.854332,  319.550762
-102.754332,  319.255471
-102.654332,  318.960181
-102.554332,  318.664890
-102.454332,  318.369599
-102.354332,  318.074309
-102.254332,  317.779018
-102.154332,  317.483728
-102.054332,  317.188437
-101.954332,  316.893216
-101.854332,  316.598000
-101.754332,  316.302784
-101.654332,  316.007569
-101.554332,  315.712353
-101.454332,  315.417137
-101.354332,  315.121921
-101.254332,  314.826706
-101.154332,  314.531490
-101.054332,  314.236274
-100.954332,  313.940921
-100.854332,  313.645556
-100.754332,  313.350191
-100.654332,  313.054826
-100.554332,  312.759461
-100.454332,  312.464096
-100.354332,  312.168731
-100.254332,  311.873366
-100.154332,  311.578001
-100.054332,  311.282636
 -99.954332,  310.987306
 -99.854332,  310.691979
 -99.754332,  310.396652
 -99.654332,  310.101325
 -99.554332,  309.805998
 -99.454332,  309.510671
 -99.354332,  309.215344
 -99.254332,  308.920017
 -99.154332,  308.624690
 -99.054332,  308.329363
 -98.954332,  308.034138
 -98.854332,  307.738922
 -98.754332,  307.443706
 -98.654332,  307.148490
 -98.554332,  306.853274
 -98.454332,  306.558058
 -98.354332,  306.262842
 -98.254332,  305.967626
 -98.154332,  305.672410
 -98.054332,  305.377194
 -97.954332,  305.082045
 -97.854332,  304.786902
 -97.754332,  304.491760
 -97.654332,  304.196617
 -97.554332,  303.901474
 -97.454332,  303.606331
 -97.354332,  303.311188
 -97.254332,  303.016046
 -97.154332,  302.720903
 -97.054332,  302.425760
 -96.954332,  302.130480
 -96.854332,  301.835188
 -96.754332,  301.539896
 -96.654332,  301.244604
 -96.554332,  300.949312
 -96.454332,  300.654020
 -96.354332,  300.358728
 -96.254332,  300.063437
 -96.154332,  299.768145
 -96.054332,  299.472853
 -95.954332,  299.177598
 -95.854332,  298.882347
 -95.754332,  298.587095
 -95.654332,  298.291844
 -95.554332,  297.996593
 -95.454332,  297.701341
 -95.354332,  297.406090
 -95.254332,  297.110838
 -95.154332,  296.815587
 -95.054332,  296.520336
 -94.954332,  296.225191
 -94.854332,  295.930055
 -94.754332,  295.634919
 -94.654332,  295.339783
 -94.554332,  295.044647
 -94.454332,  294.749511
 -94.354332,  294.454375
 -94.254332,  294.159240
 -94.154332,  293.864104
 -94.054332,  293.568968
 -93.954332,  293.273905
 -93.854332,  292.978848
 -93.754332,  292.683791
 -93.654332,  292.388735
 -93.554332,  292.093678
 -93.454332,  291.798621
 -93.354332,  291.503564
 -93.254332,  291.208508
 -93.154332,  290.913451
 -93.054332,  290.618394
 -92.954332,  290.323206
 -92.854332,  290.028007
 -92.754332,  289.732808
 -92.654332,  289.437609
 -92.554332,  289.142409
 -92.454332,  288.847210
 -92.354332,  288.552011
 -92.254332,  288.256812
 -92.154332,  287.961613
 -92.054332,  287.666414
 -91.954332,  287.371259
 -91.854332,  287.076108
 -91.754332,  286.780957
 -91.654332,  286.485805
 -91.554332,  286.190654
 -91.454332,  285.895503
 -91.354332,  285.600352
 -91.254332,  285.305201
 -91.154332,  285.010050
 -91.054332,  284.714899
 -90.954332,  284.419861
 -90.854332,  284.124834
 -90.754332,  283.829806
 -90.654332,  283.534778
 -90.554332,  283.239750
 -90.454332,  282.944722
 -90.354332,  282.649695
 -90.254332,  282.354667
 -90.154332,  282.059639
 -90.054332,  281.764611
 -89.954332,  281.469663
 -89.854332,  281.174722
 -89.754332,  280.879780
 -89.654332,  280.584839
 -89.554332,  280.289897
 -89.454332,  279.994956
 -89.354332,  279.700014
 -89.254332,  279.405073
 -89.154332,  279.110131
 -89.054332,  278.815190
 -88.954332,  278.520122
 -88.854332,  278.225043
 -88.754332,  277.929964
 -88.654332,  277.634886
 -88.554332,  277.339807
 -88.454332,  277.044728
 -88.354332,  276.749650
 -88.254332,  276.454571
 -88.154332,  276.159492
 -88.054332,  275.864414
 -87.954332,  275.569382
 -87.854332,  275.274354
 -87.754332,  274.979327
 -87.654332,  274.684299
 -87.554332,  274.389272
 -87.454332,  274.094244
 -87.354332,  273.799217
 -87.254332,  273.504189
 -87.154332,  273.209161
 -87.054332,  272.914134
 -86.954332,  272.619220
 -86.854332,  272.324317
 -86.754332,  272.029413
 -86.654332,  271.734509
 -86.554332,  271.439605
 -86.454332,  271.144702
 -86.354332,  270.849798
 -86.254332,  270.554894
 -86.154332,  270.259991
 -86.054332,  269.965087
 -85.954332,  269.670260
 -85.854332,  269.375441
 -85.754332,  269.080621
 -85.654332,  268.785801
 -85.554332,  268.490981
 -85.454332,  268.196161
 -85.354332,  267.901341
 -85.254332,  267.606522
 -85.154332,  267.311702
 -85.054332,  267.016882
 -84.954332,  266.721931
 -84.854332,  266.426969
 -84.754332,  266.132006
 -84.654332,  265.837044
 -84.554332,  265.542082
 -84.454332,  265.247119
 -84.354332,  264.952157
 -84.254332,  264.657195
 -84.154332,  264.362232
 -84.054332,  264.067270
 -83.954332,  263.772348
 -83.854332,  263.477430
 -83.754332,  263.182511
 -83.654332,  262.887593
 -83.554332,  262.592674
 -83.454332,  262.297756
 -83.354332,  262.002838
 -83.254332,  261.707919
 -83.154332,  261.413001
 -83.054332,  261.118082
 -82.954332,  260.823270
 -82.854332,  260.528467
 -82.754332,  260.233663
 -82.654332,  259.938860
 -82.554332,  259.644057
 -82.454332,  259.349253
 -82.354332,  259.054450
 -82.254332,  258.759647
 -82.154332,  258.464843
 -82.054332,  258.170040
 -81.954332,  257.875305
 -81.854332,  257.580575
 -81.754332,  257.285846
 -81.654332,  256.991117
 -81.554332,  256.696387
 -81.454332,  256.401658
 -81.354332,  256.106929
 -81.254332,  255.812199
 -81.154332,  255.517470
 -81.054332,  255.222741
 -80.954332,  254.927870
 -80.854332,  254.632987
 -80.754332,  254.338105
 -80.654332,  254.043222
 -80.554332,  253.748340
 -80.454332,  253.453457
 -80.354332,  253.158575
 -80.254332,  252.863692
 -80.154332,  252.568810
 -80.054332,  252.273927
 -79.954332,  251.979076
 -79.854332,  251.684227
 -79.754332,  251.389378
 -79.654332,  251.094529
 -79.554332,  250.799680
 -79.454332,  250.504831
 -79.354332,  250.209982
 -79.254332,  249.915133
 -79.154332,  249.620285
 -79.054332,  249.325436
 -78.954332,  249.030684
 -78.854332,  248.735941
 -78.754332,  248.441198
 -78.654332,  248.146455
 -78.554332,  247.851711
 -78.454332,  247.556968
 -78.354332,  247.262225
 -78.254332,  246.967482
 -78.154332,  246.672739
 -78.054332,  246.377996
 -77.954332,  246.083577
 -77.854332,  245.789187
 -77.754332,  245.494796
 -77.654332,  245.200405
 -77.554332,  244.906014
 -77.454332,  244.611624
 -77.354332,  244.317233
 -77.254332,  244.022842
 -77.154332,  243.728451
 -77.054332,  243.434061
 -76.954332,  243.139673
 -76.854332,  242.845286
 -76.754332,  242.550899
 -76.654332,  242.256512
 -76.554332,  241.962124
 -76.454332,  241.667737
 -76.354332,  241.373350
 -76.254332,  241.078963
 -76.154332,  240.784575
 -76.054332,  240.490188
 -75.954332,  240.195772
 -75.854332,  239.901353
 -75.754332,  239.606935
 -75.654332,  239.312516
 -75.554332,  239.018097
 -75.454332,  238.723679
 -75.354332,  238.429260
 -75.254332,  238.134841
 -75.154332,  237.840423
 -75.054332,  237.546004
 -74.954332,  237.251692
 -74.854332,  236.957390
 -74.754332,  236.663087
 -74.654332,  236.368784
 -74.554332,  236.074481
 -74.454332,  235.780179
 -74.354332,  235.485876
 -74.254332,  235.191573
 -74.154332,  234.897270
 -74.054332,  234.602968
 -73.954332,  234.308544
 -73.854332,  234.014110
 -73.754332,  233.719675
 -73.654332,  233.425241
 -73.554332,  233.130807
 -73.454332,  232.836373
 -73.354332,  232.541938
 -73.254332,  232.247504
 -73.154332,  231.953070
 -73.054332,  231.658636
 -72.954332,  231.364236
 -72.854332,  231.069839
 -72.754332,  230.775442
 -72.654332,  230.481045
 -72.554332,  230.186648
 -72.454332,  229.892252
 -72.354332,  229.597855
 -72.254332,  229.303458
 -72.154332,  229.009061
 -72.054332,  228.714664
 -71.954332,  228.420191
 -71.854332,  228.125710
 -71.754332,  227.831230
 -71.654332,  227.536750
 -71.554332,  227.242270
 -71.454332,  226.947790
 -71.354332,  226.653310
 -71.254332,  226.358830
 -71.154332,  226.064350
 -71.054332,  225.769870
 -70.954332,  225.474992
 -70.854332,  225.180081
 -70.754332,  224.885170
 -70.654332,  224.590259
 -70.554332,  224.295347
 -70.454332,  224.000436
 -70.354332,  223.705525
 -70.254332,  223.410614
 -70.154332,  223.115702
 -70.054332,  222.820791
 -69.954332,  222.525790
 -69.854332,  222.230782
 -69.754332,  221.935773
 -69.654332,  221.640765
 -69.554332,  221.345757
 -69.454332,  221.050748
 -69.354332,  220.755740
 -69.254332,  220.460731
 -69.154332,  220.165723
 -69.054332,  219.870714
 -68.954332,  219.575314
 -68.854332,  219.279880
 -68.754332,  218.984446
 -68.654332,  218.689012
 -68.554332,  218.393578
 -68.454332,  218.098143
 -68.354332,  217.802709
 -68.254332,  217.507275
 -68.154332,  217.211841
 -68.054332,  216.916407
 -67.954332,  216.620984
 -67.854332,  216.325561
 -67.754332,  216.030139
 -67.654332,  215.734716
 -67.554332,  215.439293
 -67.454332,  215.143871
 -67.354332,  214.848448
 -67.254332,  214.553026
 -67.154332,  214.257603
 -67.054332,  213.962181
 -66.954332,  213.666879
 -66.854332,  213.371588
 -66.754332,  213.076297
 -66.654332,  212.781006
 -66.554332,  212.485715
 -66.454332,  212.190424
 -66.354332,  211.895133
 -66.254332,  211.599842
 -66.154332,  211.304551
