DOC (M$_year), LTO_Nox (kg)
  12.793411,    1.260288
  12.793661,    1.260289
  12.793403,    1.260289
  12.793414,    1.260288
  12.793664,    1.260295
  12.793426,    1.260288
  12.793425,    1.260289
  12.793359,    1.260283
  12.793358,    1.260283
  12.795085,    1.260295
  12.793635,    1.260290
  12.794117,    1.260282
  12.794124,    1.260282
  12.794161,    1.260282
  12.793678,    1.260295
  12.793527,    1.260292
  12.793308,    1.260284
  12.793786,    1.260283
  12.793636,    1.260282
  12.793900,    1.260304
  12.794414,    1.260296
  12.794408,    1.260296
  12.793708,    1.260281
  12.794124,    1.260282
  12.793417,    1.260287
  12.793583,    1.260295
  12.794314,    1.260293
  12.795534,    1.260306
  12.793740,    1.260282
  12.793457,    1.260286
  12.794748,    1.260287
  12.793429,    1.260287
  12.793733,    1.260282
  12.793642,    1.260285
  12.794555,    1.260365
  12.795572,    1.260298
  12.794323,    1.260285
  12.794464,    1.260362
  12.794192,    1.260283
  12.795527,    1.260306
  12.795520,    1.260306
  12.795552,    1.260297
  12.794718,    1.260288
  12.795733,    1.260309
  12.793683,    1.260312
  12.795448,    1.260304
  12.795237,    1.260303
  12.793661,    1.260282
  12.793798,    1.260281
  12.795759,    1.260313
  12.794475,    1.260346
  12.794951,    1.260295
  12.794586,    1.260301
  12.793666,    1.260310
  12.794390,    1.260350
  12.793474,    1.260307
  12.793842,    1.260283
  12.793248,    1.260287
  12.794027,    1.260282
  12.793500,    1.260302
  12.796181,    1.260338
  12.795491,    1.260306
  12.793844,    1.260289
  12.793564,    1.260305
  12.795101,    1.260299
  12.794710,    1.260372
  12.796090,    1.260335
  12.793383,    1.260301
  12.794584,    1.260301
  12.796030,    1.260335
  12.793593,    1.260281
  12.794912,    1.260295
  12.793388,    1.260302
  12.795442,    1.260304
  12.794397,    1.260287
  12.795369,    1.260304
  12.795578,    1.260305
  12.793708,    1.260281
  12.795161,    1.260297
  12.794202,    1.260293
  12.795188,    1.260299
  12.794829,    1.260290
  12.795473,    1.260305
  12.794375,    1.260286
  12.793904,    1.260281
  12.794733,    1.260287
  12.796027,    1.260335
  12.796184,    1.260338
  12.793696,    1.260282
  12.795423,    1.260390
  12.793682,    1.260280
  12.793611,    1.260281
  12.793435,    1.260305
  12.793773,    1.260281
  12.793711,    1.260282
  12.794892,    1.260289
  12.793173,    1.260293
  12.794858,    1.260291
  12.796246,    1.260340
  12.793608,    1.260281
  12.795536,    1.260307
  12.794699,    1.260301
  12.793731,    1.260281
  12.793776,    1.260281
  12.793602,    1.260281
  12.793732,    1.260280
  12.793466,    1.260308
  12.793715,    1.260314
  12.793565,    1.260281
  12.795208,    1.260306
  12.795085,    1.260380
  12.793798,    1.260316
  12.793166,    1.260293
  12.795045,    1.260295
  12.793812,    1.260281
  12.794222,    1.260282
  12.793601,    1.260281
  12.793713,    1.260312
  12.794941,    1.260292
  12.794073,    1.260285
  12.795402,    1.260303
  12.793863,    1.260341
  12.797422,    1.260365
  12.794175,    1.260327
  12.793603,    1.260281
  12.794446,    1.260285
  12.794478,    1.260358
  12.794900,    1.260289
  12.793809,    1.260280
  12.794953,    1.260376
  12.795361,    1.260302
  12.794419,    1.260297
  12.794177,    1.260327
  12.793956,    1.260348
  12.793724,    1.260322
  12.796250,    1.260340
  12.797558,    1.260366
  12.793775,    1.260281
  12.795150,    1.260305
  12.795162,    1.260301
  12.793911,    1.260283
  12.793692,    1.260282
  12.797094,    1.260349
  12.797434,    1.260365
  12.796364,    1.260344
  12.796388,    1.260344
