eta, Ccl add.
   0.000000,    4.393764
   0.020408,    4.361262
   0.040816,    4.357730
   0.061224,    4.350993
   0.081633,    4.340884
   0.102041,    4.327396
   0.122449,    4.310610
   0.142857,    4.290649
   0.163265,    4.267664
   0.183673,    4.241819
   0.204082,    4.213287
   0.224490,    4.182248
   0.244898,    4.148897
   0.265306,    4.113454
   0.285714,    4.075509
   0.306122,    4.036056
   0.326531,    3.997906
   0.346939,    3.956939
   0.367347,    3.914517
   0.387755,    3.870599
   0.408163,    3.825170
   0.428571,    3.778227
   0.448980,    3.729769
   0.469388,    3.679794
   0.489796,    3.628295
   0.510204,    3.575245
   0.530612,    3.520620
   0.551020,    3.464395
   0.571429,    3.406521
   0.591837,    3.346933
   0.612245,    3.285544
   0.632653,    3.222246
   0.653061,    3.156900
   0.673469,    3.089327
   0.693878,    3.019306
   0.714286,    2.946552
   0.734694,    2.870705
   0.755102,    2.791301
   0.775510,    2.707741
   0.795918,    2.619242
   0.816327,    2.524759
   0.836735,    2.422883
   0.857143,    2.311666
   0.877551,    2.188336
   0.897959,    2.048814
   0.918367,    1.886799
   0.938776,    1.691845
   0.959184,    1.444543
   0.979592,    1.099499
   1.000000,    0.000000
