eta, Ccl add.
   0.000000,    0.254132
   0.020408,    0.252252
   0.040816,    0.252048
   0.061224,    0.251658
   0.081633,    0.251073
   0.102041,    0.250293
   0.122449,    0.249322
   0.142857,    0.248168
   0.163265,    0.246838
   0.183673,    0.245344
   0.204082,    0.243693
   0.224490,    0.241898
   0.244898,    0.239969
   0.265306,    0.237919
   0.285714,    0.235724
   0.306122,    0.233442
   0.326531,    0.231236
   0.346939,    0.228866
   0.367347,    0.226413
   0.387755,    0.223873
   0.408163,    0.221245
   0.428571,    0.218530
   0.448980,    0.215727
   0.469388,    0.212837
   0.489796,    0.209858
   0.510204,    0.206790
   0.530612,    0.203630
   0.551020,    0.200378
   0.571429,    0.197031
   0.591837,    0.193584
   0.612245,    0.190033
   0.632653,    0.186372
   0.653061,    0.182593
   0.673469,    0.178684
   0.693878,    0.174634
   0.714286,    0.170426
   0.734694,    0.166039
   0.755102,    0.161447
   0.775510,    0.156614
   0.795918,    0.151495
   0.816327,    0.146030
   0.836735,    0.140138
   0.857143,    0.133705
   0.877551,    0.126572
   0.897959,    0.118502
   0.918367,    0.109131
   0.938776,    0.097855
   0.959184,    0.083551
   0.979592,    0.063594
   1.000000,    0.000000
