eta, Ccl add.
   0.000000,    1.082058
   0.020408,    1.074054
   0.040816,    1.073184
   0.061224,    1.071525
   0.081633,    1.069035
   0.102041,    1.065714
   0.122449,    1.061580
   0.142857,    1.056664
   0.163265,    1.051004
   0.183673,    1.044639
   0.204082,    1.037612
   0.224490,    1.029968
   0.244898,    1.021755
   0.265306,    1.013026
   0.285714,    1.003681
   0.306122,    0.993965
   0.326531,    0.984570
   0.346939,    0.974481
   0.367347,    0.964034
   0.387755,    0.953218
   0.408163,    0.942030
   0.428571,    0.930469
   0.448980,    0.918535
   0.469388,    0.906228
   0.489796,    0.893545
   0.510204,    0.880481
   0.530612,    0.867028
   0.551020,    0.853181
   0.571429,    0.838929
   0.591837,    0.824254
   0.612245,    0.809136
   0.632653,    0.793547
   0.653061,    0.777454
   0.673469,    0.760813
   0.693878,    0.743569
   0.714286,    0.725652
   0.734694,    0.706973
   0.755102,    0.687418
   0.775510,    0.666839
   0.795918,    0.645044
   0.816327,    0.621776
   0.836735,    0.596687
   0.857143,    0.569297
   0.877551,    0.538924
   0.897959,    0.504564
   0.918367,    0.464665
   0.938776,    0.416653
   0.959184,    0.355750
   0.979592,    0.270775
   1.000000,    0.000000
