CD, CL
   0.064262,    1.169452
   0.062392,    1.259667
   0.060963,    1.349819
   0.059960,    1.439915
   0.059418,    1.529955
   0.059314,    1.619942
   0.059679,    1.709879
   0.060509,    1.799765
   0.061815,    1.889604
   0.063612,    1.979397
   0.065897,    2.069147
   0.068696,    2.159088
   0.072020,    2.249334
   0.075883,    2.339640
   0.080294,    2.430007
   0.085255,    2.520497
   0.090810,    2.611540
   0.097014,    2.703774
   0.103943,    2.797793
   0.111706,    2.894124
   0.120387,    2.992977
   0.129986,    3.093370
   0.139828,    3.190175
   0.149761,    3.283955
   0.159388,    3.368339
   0.168256,    3.437912
   0.175982,    3.489480
   0.182278,    3.522072
   0.186976,    3.536936
   0.190068,    3.537542
