CD, CL
   0.063242,    1.338316
   0.061372,    1.428531
   0.059943,    1.518683
   0.058939,    1.608779
   0.058397,    1.698819
   0.058294,    1.788807
   0.058659,    1.878743
   0.059489,    1.968629
   0.060794,    2.058468
   0.062592,    2.148262
   0.064876,    2.238011
   0.067676,    2.327952
   0.070999,    2.418198
   0.074862,    2.508504
   0.079273,    2.598871
   0.084234,    2.689361
   0.089789,    2.780404
   0.095993,    2.872639
   0.102922,    2.966657
   0.110686,    3.062988
   0.119366,    3.161841
   0.128966,    3.262234
   0.138807,    3.359039
   0.148740,    3.452820
   0.158367,    3.537204
   0.167235,    3.606776
   0.174961,    3.658344
   0.181258,    3.690936
   0.185956,    3.705800
   0.189047,    3.706406
