alpha body, Neutral Point
 -10.000000,    0.314903
  -9.090909,    0.317805
  -8.181818,    0.323397
  -7.272727,    0.331279
  -6.363636,    0.333255
  -5.454545,    0.334767
  -4.545455,    0.344168
  -3.636364,    0.353305
  -2.727273,    0.330563
  -1.818182,    0.369725
  -0.909091,    0.440072
  -0.000000,    0.447773
   0.909091,    0.454915
   1.818182,    0.461592
   2.727273,    0.468272
   3.636364,    0.474381
   4.545455,    0.479391
   5.454545,    0.483729
   6.363636,    0.487533
   7.272727,    0.490714
   8.181818,    0.493068
