alpha body, Neutral Point
 -10.000000,    0.396862
  -9.090909,    0.391834
  -8.181818,    0.381746
  -7.272727,    0.374153
  -6.363636,    0.361282
  -5.454545,    0.348249
  -4.545455,    0.342899
  -3.636364,    0.337441
  -2.727273,    0.302819
  -1.818182,    0.324967
  -0.909091,    0.375694
  -0.000000,    0.368991
   0.909091,    0.361823
   1.818182,    0.354276
   2.727273,    0.346786
   3.636364,    0.338791
   4.545455,    0.329779
   5.454545,    0.320175
   6.363636,    0.310088
   7.272727,    0.299410
   8.181818,    0.287949
   9.090909,    0.275845
  10.000000,    0.267516
  10.909091,    0.277394
  11.818182,    0.323256
  12.727273,    0.447969
  13.636364,    0.863934
  14.545455,    2.711506
  15.454545,    3.184969
