alpha body, CM
  -4.000000,   -0.119915
  -3.172414,   -0.099166
  -2.344828,   -0.078424
  -1.517241,   -0.057687
  -0.689655,   -0.036952
   0.137931,   -0.016218
   0.965517,    0.004519
   1.793103,    0.025262
   2.620690,    0.046016
   3.448276,    0.066785
   4.275862,    0.087573
   5.103448,    0.108387
   5.931034,    0.129232
   6.758621,    0.150115
   7.586207,    0.171043
   8.413793,    0.192022
   9.241379,    0.213061
  10.068966,    0.234168
  10.896552,    0.255350
  11.724138,    0.276618
  12.551724,    0.297980
  13.379310,    0.319447
  14.206897,    0.341027
  15.034483,    0.362733
  15.862069,    0.384574
  16.689655,    0.406562
  17.517241,    0.428709
  18.344828,    0.451026
  19.172414,    0.473526
  20.000000,    0.496222
