alpha body, CM
  -4.000000,   -0.196238
  -3.172414,   -0.179567
  -2.344828,   -0.162334
  -1.517241,   -0.144537
  -0.689655,   -0.126192
   0.137931,   -0.106856
   0.965517,   -0.087467
   1.793103,   -0.067544
   2.620690,   -0.047096
   3.448276,   -0.026132
   4.275862,   -0.004657
   5.103448,    0.017317
   5.931034,    0.039785
   6.758621,    0.062735
   7.586207,    0.086110
   8.413793,    0.108879
   9.241379,    0.129365
  10.068966,    0.146348
  10.896552,    0.159157
  11.724138,    0.167721
  12.551724,    0.172628
  13.379310,    0.175170
  14.206897,    0.177426
  15.034483,    0.182347
  15.862069,    0.193727
  16.689655,    0.216238
  17.517241,    0.255449
  18.344828,    0.317860
  19.172414,    0.410928
  20.000000,    0.543093
