alpha body, CM
  -4.000000,    0.000377
  -3.172414,    0.000329
  -2.344828,    0.000285
  -1.517241,    0.000243
  -0.689655,    0.000203
   0.137931,    0.000165
   0.965517,    0.000129
   1.793103,    0.000094
   2.620690,    0.000059
   3.448276,    0.000025
   4.275862,   -0.000010
   5.103448,   -0.000046
   5.931034,   -0.000084
   6.758621,   -0.000123
   7.586207,   -0.000166
   8.413793,   -0.000211
   9.241379,   -0.000262
  10.068966,   -0.000323
  10.896552,   -0.000400
  11.724138,   -0.000500
  12.551724,   -0.000632
  13.379310,   -0.000799
  14.206897,   -0.000959
  15.034483,   -0.001136
  15.862069,   -0.001337
  16.689655,   -0.001563
  17.517241,   -0.001816
  18.344828,   -0.002100
  19.172414,   -0.002416
  20.000000,   -0.002767
