alpha body, CM
  -4.000000,    0.267712
  -3.172414,    0.229525
  -2.344828,    0.191479
  -1.517241,    0.153561
  -0.689655,    0.115768
   0.137931,    0.078100
   0.965517,    0.040554
   1.793103,    0.003129
   2.620690,   -0.034177
   3.448276,   -0.071365
   4.275862,   -0.108439
   5.103448,   -0.146231
   5.931034,   -0.185138
   6.758621,   -0.224291
   7.586207,   -0.263691
   8.413793,   -0.303550
   9.241379,   -0.345398
  10.068966,   -0.391506
  10.896552,   -0.443985
  11.724138,   -0.504706
  12.551724,   -0.574405
  13.379310,   -0.649546
  14.206897,   -0.711910
  15.034483,   -0.772687
  15.862069,   -0.833966
  16.689655,   -0.895730
  17.517241,   -0.957546
  18.344828,   -1.018565
  19.172414,   -1.077515
  20.000000,   -1.132700
