CL, CM
   1.114968,    0.550260
   1.205184,    0.573419
   1.295336,    0.597054
   1.385431,    0.621156
   1.475472,    0.645716
   1.565459,    0.671179
   1.655395,    0.696610
   1.745282,    0.722490
   1.835121,    0.748808
   1.924914,    0.775554
   2.014664,    0.802719
   2.104605,    0.829456
   2.194851,    0.855361
   2.285156,    0.881288
   2.375524,    0.907220
   2.466014,    0.932935
   2.557057,    0.956887
   2.649291,    0.976793
   2.743310,    0.990530
   2.839640,    0.996194
   2.938494,    0.993007
   3.038887,    0.984428
   3.135692,    0.988676
   3.229472,    0.994030
   3.313856,    0.996757
   3.383429,    0.995512
   3.434997,    0.989842
   3.467588,    0.980233
   3.482453,    0.968139
   3.483058,    0.956022
