CL, CM
   1.169452,    0.340398
   1.259667,    0.363262
   1.349819,    0.386642
   1.439915,    0.410529
   1.529955,    0.434915
   1.619942,    0.460244
   1.709879,    0.485582
   1.799765,    0.511409
   1.889604,    0.537714
   1.979397,    0.564488
   2.069147,    0.591721
   2.159088,    0.618567
   2.249334,    0.644622
   2.339640,    0.670738
   2.430007,    0.696901
   2.520497,    0.722886
   2.611540,    0.747148
   2.703774,    0.767406
   2.797793,    0.781533
   2.894124,    0.787628
   2.992977,    0.784912
   3.093370,    0.776843
   3.190175,    0.781642
   3.283955,    0.787586
   3.368339,    0.790942
   3.437912,    0.790366
   3.489480,    0.785405
   3.522072,    0.776542
   3.536936,    0.765234
   3.537542,    0.753942
