CL, CM
   1.162510,    0.370638
   1.252726,    0.393519
   1.342878,    0.416910
   1.432973,    0.440804
   1.523014,    0.465192
   1.613001,    0.490517
   1.702937,    0.515846
   1.792824,    0.541659
   1.882663,    0.567945
   1.972456,    0.594694
   2.062206,    0.621898
   2.152147,    0.648710
   2.242393,    0.674724
   2.332698,    0.700796
   2.423066,    0.726908
   2.513556,    0.752838
   2.604599,    0.777040
   2.696833,    0.797232
   2.790852,    0.811289
   2.887182,    0.817308
   2.986036,    0.814511
   3.086429,    0.806357
   3.183234,    0.811065
   3.277014,    0.816913
   3.361398,    0.820169
   3.430971,    0.819487
   3.482539,    0.814415
   3.515131,    0.805437
   3.529995,    0.794008
   3.530600,    0.782591
