CL, CM
   1.277060,   -0.045398
   1.367275,   -0.023380
   1.457427,   -0.000767
   1.547523,    0.022434
   1.637563,    0.046212
   1.727551,    0.071013
   1.817487,    0.095902
   1.907373,    0.121358
   1.997212,    0.147374
   2.087006,    0.173938
   2.176755,    0.201041
   2.266696,    0.227837
   2.356942,    0.253920
   2.447248,    0.280146
   2.537616,    0.306497
   2.628106,    0.332750
   2.719148,    0.357361
   2.811383,    0.378046
   2.905401,    0.392681
   3.001732,    0.399363
   3.100585,    0.397312
   3.200978,    0.389989
   3.297783,    0.395612
   3.391564,    0.402459
   3.475948,    0.406797
   3.545520,    0.407280
   3.597088,    0.403457
   3.629680,    0.395811
   3.644544,    0.385797
   3.645150,    0.375876
