CL, CM
   1.152193,    0.413143
   1.242408,    0.436058
   1.332560,    0.459475
   1.422656,    0.483387
   1.512696,    0.507785
   1.602684,    0.533113
   1.692620,    0.558437
   1.782506,    0.584237
   1.872345,    0.610503
   1.962139,    0.637224
   2.051888,    0.664393
   2.141830,    0.691161
   2.232075,    0.717124
   2.322381,    0.743137
   2.412749,    0.769183
   2.503239,    0.795039
   2.594281,    0.819160
   2.686516,    0.839262
   2.780534,    0.853223
   2.876865,    0.859137
   2.975718,    0.856229
   3.076111,    0.847955
   3.172916,    0.852537
   3.266697,    0.858251
   3.351081,    0.861365
   3.420653,    0.860533
   3.472221,    0.855305
   3.504813,    0.846164
   3.519677,    0.834564
   3.520283,    0.822969
