CL, CM
   1.399572,   -0.477203
   1.489787,   -0.456199
   1.579939,   -0.434511
   1.670035,   -0.412146
   1.760075,   -0.389113
   1.850062,   -0.364967
   1.939998,   -0.340643
   2.029885,   -0.315660
   2.119724,   -0.290027
   2.209517,   -0.263756
   2.299267,   -0.236855
   2.389208,   -0.210170
   2.479454,   -0.184107
   2.569760,   -0.157810
   2.660127,   -0.131298
   2.750617,   -0.104792
   2.841660,   -0.079838
   2.933894,   -0.058719
   3.027913,   -0.043560
   3.124243,   -0.036264
   3.223097,   -0.037609
   3.323490,   -0.044137
   3.420295,   -0.037628
   3.514075,   -0.029806
   3.598459,   -0.024404
   3.668032,   -0.022766
   3.719600,   -0.025346
   3.752192,   -0.031660
   3.767056,   -0.040253
   3.767662,   -0.048664
