CL, CM
   1.217741,    0.166226
   1.307957,    0.188719
   1.398109,    0.211763
   1.488204,    0.235350
   1.578245,    0.259472
   1.668232,    0.284572
   1.758168,    0.309716
   1.848055,    0.335385
   1.937894,    0.361569
   2.027687,    0.388257
   2.117437,    0.415440
   2.207378,    0.442272
   2.297624,    0.468348
   2.387929,    0.494521
   2.478297,    0.520777
   2.568787,    0.546890
   2.659830,    0.571317
   2.752064,    0.591775
   2.846083,    0.606138
   2.942413,    0.612505
   3.041267,    0.610095
   3.141660,    0.602370
   3.238465,    0.607547
   3.332245,    0.613904
   3.416629,    0.617709
   3.486202,    0.617616
   3.537770,    0.613174
   3.570362,    0.604865
   3.585226,    0.594145
   3.585831,    0.583477
