CLe, Neutral Point
  -0.343931,    0.210179
  -0.288241,    0.207844
  -0.232495,    0.203309
  -0.176691,    0.198910
  -0.120831,    0.194502
  -0.064912,    0.190165
  -0.008938,    0.185809
   0.047096,    0.181423
   0.103188,    0.176940
   0.159340,    0.172448
   0.215549,    0.168057
   0.271820,    0.163662
   0.328150,    0.096634
   0.386699,    0.093849
   0.443094,    0.153736
   0.499551,    0.149380
   0.556069,    0.145056
   0.612649,    0.140698
   0.669294,    0.136291
   0.726001,    0.131879
   0.782774,    0.127535
   0.839612,    0.123237
   0.896517,    0.118946
   0.953489,    0.114645
   1.010528,    0.142204
   1.067636,    0.266724
   1.124808,    0.371703
   1.182050,    0.389156
   1.239362,    0.413726
   1.295054,    0.431037
