CLe, Neutral Point
  -0.377894,    0.196613
  -0.316719,    0.194702
  -0.255481,    0.190990
  -0.194176,    0.187391
  -0.132809,    0.183787
  -0.071374,    0.180241
  -0.009876,    0.176679
   0.051690,    0.173092
   0.113321,    0.169426
   0.175021,    0.165750
   0.236787,    0.162157
   0.298621,    0.158560
   0.360523,    0.103471
   0.424866,    0.101194
   0.486845,    0.150434
   0.548894,    0.146860
   0.611013,    0.143309
   0.673202,    0.139728
   0.735465,    0.136103
   0.797799,    0.132471
   0.860209,    0.128893
   0.922693,    0.125349
   0.985253,    0.121807
   1.047889,    0.118252
   1.110604,    0.141103
   1.173396,    0.244314
   1.236262,    0.331326
   1.299210,    0.345786
   1.362237,    0.365775
   1.423491,    0.379755
