Ground Roll distance, Vertical Forces
 342.875462, 537024.330511
 351.122651, 534382.964060
 408.399326, 516290.658441
 419.736961, 512761.135661
 431.035803, 509260.548431
 442.296036, 505788.599884
 453.517847, 502344.996882
 454.284660, 502110.286818
 454.882991, 501927.199543
 455.390662, 501771.890661
 455.668094, 501687.031713
 455.856152, 501629.515520
 455.925362, 501608.349232
 455.936397, 501604.937865
 455.946511, 501601.522566
 456.047646, 501567.363749
 457.058805, 501225.192118
 467.151183, 497744.531894
 512.071400, 480699.956258
 556.525401, 460984.049296
 598.497443, 439262.180788
 619.034983, 427356.776330
 627.549836, 422148.381132
 635.773287, 416957.506425
 671.009171, 392775.890114
 705.020495, 366058.247138
 736.413633, 337921.299144
 765.147727, 308717.921926
 791.272058, 278804.364362
 814.863633, 248569.898694
 836.021284, 218423.556715
 854.860526, 188779.503011
 871.507464, 160044.834791
 879.145475, 145960.962566
 880.223386, 143924.227589
 881.384872, 141715.883467
 892.494787, 119857.395274
 896.269228, 112112.505635
 898.583588, 107278.980027
 899.440374, 105472.867753
 900.340181, 103566.086461
 908.878252, 84941.552841
 912.595470, 76516.192480
 914.870227, 71259.438550
 917.217043, 65752.736863
 917.875171, 64192.856772
 918.448014, 62829.585098
 918.962206, 61601.645380
 923.821852, 49792.187592
 931.239160, 31002.697378
 933.522393, 25014.116816
 934.978413, 21139.964158
 936.232957, 17765.461942
 936.681559, 16550.277383
 936.874147, 16027.174655
 937.505951, 14304.465160
 938.043933, 12829.160568
 941.518958, 3086.887818
 942.038493, 1591.282518
 942.253283,  968.630107
 942.401175,  538.054616
 942.500476,  247.865816
 942.559038,   76.166291
 942.583379,    4.598803
 942.584820,    0.355329
 942.584928,    0.035167
 942.584940,    0.000041
