alpha_b, CM
  -4.000000,    0.000160
  -3.517241,    0.000152
  -3.034483,    0.000144
  -2.551724,    0.000137
  -2.068966,    0.000129
  -1.586207,    0.000121
  -1.103448,    0.000113
  -0.620690,    0.000105
  -0.137931,    0.000097
   0.344828,    0.000090
   0.827586,    0.000082
   1.310345,    0.000074
   1.793103,    0.000067
   2.275862,    0.000059
   2.758621,    0.000052
   3.241379,    0.000044
   3.724138,    0.000036
   4.206897,    0.000029
   4.689655,    0.000021
   5.172414,    0.000014
   5.655172,    0.000007
   6.137931,   -0.000001
   6.620690,   -0.000008
   7.103448,   -0.000016
   7.586207,   -0.000023
   8.068966,   -0.000032
   8.551724,   -0.000044
   9.034483,   -0.000057
   9.517241,   -0.000070
  10.000000,   -0.000084
