eta, cCl
   0.000000,    5.243323
   0.020408,    5.194814
   0.040816,    5.178537
   0.061224,    5.154816
   0.081633,    5.124918
   0.102041,    5.089694
   0.122449,    5.049783
   0.142857,    5.005690
   0.163265,    4.957839
   0.183673,    4.906588
   0.204082,    4.852262
   0.224490,    4.795160
   0.244898,    4.735579
   0.265306,    4.673851
   0.285714,    4.608867
   0.306122,    4.542528
   0.326531,    4.480735
   0.346939,    4.414515
   0.367347,    4.347090
   0.387755,    4.278445
   0.408163,    4.208607
   0.428571,    4.137619
   0.448980,    4.065524
   0.469388,    3.992364
   0.489796,    3.918172
   0.510204,    3.842959
   0.530612,    3.766736
   0.551020,    3.689516
   0.571429,    3.611281
   0.591837,    3.532000
   0.612245,    3.451621
   0.632653,    3.370070
   0.653061,    3.287242
   0.673469,    3.203002
   0.693878,    3.117166
   0.714286,    3.029501
   0.734694,    2.939699
   0.755102,    2.847358
   0.775510,    2.751952
   0.795918,    2.652781
   0.816327,    2.548900
   0.836735,    2.439019
   0.857143,    2.321323
   0.877551,    2.193201
   0.897959,    2.050737
   0.918367,    1.887777
   0.938776,    1.693912
   0.959184,    1.449406
   0.979592,    1.107413
   1.000000,    0.000000
