eta, D
   0.000000,  289.800815
   0.020408,  287.830559
   0.040816,  286.432057
   0.061224,  285.053033
   0.081633,  283.668755
   0.102041,  282.267476
   0.122449,  280.842432
   0.142857,  279.389350
   0.163265,  277.905374
   0.183673,  276.388501
   0.204082,  274.837255
   0.224490,  273.250486
   0.244898,  271.627237
   0.265306,  269.966654
   0.285714,  268.267916
   0.306122,  266.530192
   0.326531,  264.752596
   0.346939,  262.934157
   0.367347,  261.073794
   0.387755,  259.170285
   0.408163,  257.222248
   0.428571,  255.228119
   0.448980,  253.186138
   0.469388,  251.094373
   0.489796,  248.951227
   0.510204,  246.751075
   0.530612,  244.490450
   0.551020,  242.168864
   0.571429,  239.781659
   0.591837,  237.324170
   0.612245,  234.791158
   0.632653,  232.176653
   0.653061,  229.473820
   0.673469,  226.674805
   0.693878,  223.770546
   0.714286,  220.750541
   0.734694,  217.602554
   0.755102,  214.312230
   0.775510,  210.862587
   0.795918,  207.233322
   0.816327,  203.399828
   0.836735,  199.331751
   0.857143,  194.990805
   0.877551,  191.107646
   0.897959,  186.964943
   0.918367,  182.496196
   0.938776,  177.626348
   0.959184,  172.391969
   0.979592,  169.882013
   1.000000,  157.625678
