eta, D
   0.000000,  247.850993
   0.020408,  246.025658
   0.040816,  244.214781
   0.061224,  242.404356
   0.081633,  240.593831
   0.102041,  238.782986
   0.122449,  236.971704
   0.142857,  235.159919
   0.163265,  233.347588
   0.183673,  231.534684
   0.204082,  229.721185
   0.224490,  227.907077
   0.244898,  226.092347
   0.265306,  224.276983
   0.285714,  222.460975
   0.306122,  220.644311
   0.326531,  218.826978
   0.346939,  217.008960
   0.367347,  215.199746
   0.387755,  213.396352
   0.408163,  211.589886
   0.428571,  209.780240
   0.448980,  207.967290
   0.469388,  206.150895
   0.489796,  204.330925
   0.510204,  202.507057
   0.530612,  200.679059
   0.551020,  198.846825
   0.571429,  197.010051
   0.591837,  195.168416
   0.612245,  193.321559
   0.632653,  191.469066
   0.653061,  189.636095
   0.673469,  187.801856
   0.693878,  185.965888
   0.714286,  184.128020
   0.734694,  182.288054
   0.755102,  180.445757
   0.775510,  178.600856
   0.795918,  176.753026
   0.816327,  174.901877
   0.836735,  173.046934
   0.857143,  171.187612
   0.877551,  169.323183
   0.897959,  167.452732
   0.918367,  165.575165
   0.938776,  163.689552
   0.959184,  161.798318
   0.979592,  159.963816
   1.000000,  157.625678
