CL_e, delta_e_eq
   0.856119,   -1.058518
   0.946913,   -1.088346
   1.037867,   -1.100114
   1.128980,   -1.094248
   1.220250,   -1.071170
   1.311803,   -1.020785
   1.403374,   -0.964709
   1.495101,   -0.891957
   1.586983,   -0.802759
   1.679017,   -0.697370
   1.771206,   -0.575902
   1.863546,   -0.457710
   1.956039,   -0.351921
   2.048682,   -0.238743
   2.141217,   -0.119480
   2.228458,   -0.022593
   2.302369,   -0.021532
   2.357662,   -0.196207
   2.392017,   -0.610217
   2.406099,   -1.308120
   2.403574,   -2.296885
   2.391126,   -3.466191
   2.378491,   -4.346515
   2.378445,   -5.129334
   2.406821,   -5.781542
   2.482520,   -6.182238
   2.627512,   -6.190644
   2.866844,   -5.634536
   3.228649,   -4.320693
   3.744155,   -2.027325
