Xcg/c, Mass
  32.831079, 34725.806423
  29.878052, 34941.806423
  27.126482, 35157.806423
  24.572678, 35373.806423
  22.213040, 35589.806423
  20.044054, 35805.806423
  18.062290, 36021.806423
  16.264400, 36237.806423
  14.647115, 36453.806423
  13.207245, 36669.806423
  11.941672, 36885.806423
  10.847352, 37101.806423
   9.921311, 37317.806423
   9.160645, 37533.806423
   8.562514, 37749.806423
   8.124145, 37965.806423
   7.842825, 38181.806423
   7.715905, 38397.806423
   7.740793, 38613.806423
   7.914957, 38829.806423
   8.235918, 39045.806423
   8.701254, 39261.806423
   9.308595, 39477.806423
  10.055623, 39693.806423
  10.940070, 39909.806423
  11.959717, 40125.806423
  13.112391, 40341.806423
  10.673283, 40557.806423
   8.402440, 40773.806423
   6.297200, 40989.806423
   4.354960, 41205.806423
   2.573170, 41421.806423
   0.949333, 41637.806423
  -0.518997, 41853.806423
  -1.834215, 42069.806423
  -2.998667, 42285.806423
  -4.014652, 42501.806423
  -4.884422, 42717.806423
  -5.610185, 42933.806423
  -6.194101, 43149.806423
  -6.638292, 43365.806423
  -6.944835, 43581.806423
  -7.115766, 43797.806423
  -7.153081, 44013.806423
  -7.058739, 44229.806423
  -6.834658, 44445.806423
  -6.482722, 44661.806423
  -6.004776, 44877.806423
  -5.402632, 45093.806423
  -4.678064, 45309.806423
  -3.832817, 45525.806423
  -2.868599, 45741.806423
  -1.787087, 45957.806423
  -2.825890, 46065.806423
  -3.796951, 46173.806423
  -4.700743, 46281.806423
  -5.537737, 46389.806423
  -6.308399, 46497.806423
  -7.013189, 46605.806423
  -7.652564, 46713.806423
  -8.226977, 46821.806423
  -8.736876, 46929.806423
  -9.182706, 47037.806423
  -9.564908, 47145.806423
  -9.883916, 47253.806423
 -10.140165, 47361.806423
 -10.334081, 47469.806423
 -10.466090, 47577.806423
 -10.536612, 47685.806423
 -10.546064, 47793.806423
 -10.494859, 47901.806423
 -10.383407, 48009.806423
 -10.212112, 48117.806423
  -9.981378, 48225.806423
  -9.691602, 48333.806423
  -9.343179, 48441.806423
  -8.936502, 48549.806423
  -8.471957, 48657.806423
  -7.949929, 48765.806423
