Xcg/c, Mass
  32.831079, 34725.806423
  34.032870, 34941.806423
  35.054722, 35157.806423
  35.899932, 35373.806423
  36.571716, 35589.806423
  37.073212, 35805.806423
  37.407484, 36021.806423
  37.577522, 36237.806423
  37.586246, 36453.806423
  37.436505, 36669.806423
  37.131084, 36885.806423
  36.672703, 37101.806423
  36.064016, 37317.806423
  35.307619, 37533.806423
  34.406048, 37749.806423
  33.361780, 37965.806423
  32.177237, 38181.806423
  30.854786, 38397.806423
  29.396743, 38613.806423
  27.805368, 38829.806423
  26.082876, 39045.806423
  24.231430, 39261.806423
  22.253147, 39477.806423
  20.150097, 39693.806423
  17.924307, 39909.806423
  15.577758, 40125.806423
  13.112391, 40341.806423
  14.252788, 40557.806423
  15.238680, 40773.806423
  16.072511, 40989.806423
  16.756671, 41205.806423
  17.293502, 41421.806423
  17.685298, 41637.806423
  17.934302, 41853.806423
  18.042716, 42069.806423
  18.012693, 42285.806423
  17.846344, 42501.806423
  17.545736, 42717.806423
  17.112897, 42933.806423
  16.549812, 43149.806423
  15.858428, 43365.806423
  15.040651, 43581.806423
  14.098352, 43797.806423
  13.033364, 44013.806423
  11.847485, 44229.806423
  10.542477, 44445.806423
   9.120069, 44661.806423
   7.581956, 44877.806423
   5.929800, 45093.806423
   4.165233, 45309.806423
   2.289854, 45525.806423
   0.305234, 45741.806423
  -1.787087, 45957.806423
  -1.250135, 46065.806423
  -0.778578, 46173.806423
  -0.371957, 46281.806423
  -0.029819, 46389.806423
   0.248284, 46497.806423
   0.462799, 46605.806423
   0.614166, 46713.806423
   0.702822, 46821.806423
   0.729200, 46929.806423
   0.693730, 47037.806423
   0.596836, 47145.806423
   0.438939, 47253.806423
   0.220456, 47361.806423
  -0.058198, 47469.806423
  -0.396614, 47577.806423
  -0.794386, 47685.806423
  -1.251112, 47793.806423
  -1.766393, 47901.806423
  -2.339833, 48009.806423
  -2.971042, 48117.806423
  -3.659630, 48225.806423
  -4.405214, 48333.806423
  -5.207412, 48441.806423
  -6.065846, 48549.806423
  -6.980142, 48657.806423
  -7.949929, 48765.806423
