alpha_w, Cl
   0.000000,   -0.141785
   0.005025,   -0.141828
   0.010050,   -0.141856
   0.015075,   -0.141886
   0.020101,   -0.141918
   0.025126,   -0.141952
   0.030151,   -0.141988
   0.035176,   -0.142025
   0.040201,   -0.142065
   0.045226,   -0.142106
   0.050251,   -0.142149
   0.055276,   -0.142194
   0.060302,   -0.142240
   0.065327,   -0.142289
   0.070352,   -0.142339
   0.075377,   -0.142391
   0.080402,   -0.142445
   0.085427,   -0.142501
   0.090452,   -0.142558
   0.095477,   -0.142618
   0.100503,   -0.142679
   0.105528,   -0.142742
   0.110553,   -0.142807
   0.115578,   -0.142873
   0.120603,   -0.142942
   0.125628,   -0.143012
   0.130653,   -0.143084
   0.135678,   -0.143158
   0.140704,   -0.143233
   0.145729,   -0.143311
   0.150754,   -0.143390
   0.155779,   -0.143471
   0.160804,   -0.143554
   0.165829,   -0.143638
   0.170854,   -0.143725
   0.175879,   -0.143813
   0.180905,   -0.143903
   0.185930,   -0.143995
   0.190955,   -0.144088
   0.195980,   -0.144183
   0.201005,   -0.144280
   0.206030,   -0.144379
   0.211055,   -0.144480
   0.216080,   -0.144582
   0.221106,   -0.144686
   0.226131,   -0.144792
   0.231156,   -0.144900
   0.236181,   -0.145009
   0.241206,   -0.145120
   0.246231,   -0.145232
   0.251256,   -0.145347
   0.256281,   -0.145463
   0.261307,   -0.145581
   0.266332,   -0.145700
   0.271357,   -0.145822
   0.276382,   -0.145945
   0.281407,   -0.146070
   0.286432,   -0.146196
   0.291457,   -0.146325
   0.296482,   -0.146456
   0.301508,   -0.146595
   0.306533,   -0.146751
   0.311558,   -0.146909
   0.316583,   -0.147067
   0.321608,   -0.147223
   0.326633,   -0.147379
   0.331658,   -0.147534
   0.336683,   -0.147686
   0.341709,   -0.147836
   0.346734,   -0.147984
   0.351759,   -0.148128
   0.356784,   -0.148270
   0.361809,   -0.148408
   0.366834,   -0.148542
   0.371859,   -0.148673
   0.376884,   -0.148799
   0.381910,   -0.148920
   0.386935,   -0.149037
   0.391960,   -0.149149
   0.396985,   -0.149255
   0.402010,   -0.149356
   0.407035,   -0.149451
   0.412060,   -0.149541
   0.417085,   -0.149624
   0.422111,   -0.149700
   0.427136,   -0.149770
   0.432161,   -0.149833
   0.437186,   -0.149889
   0.442211,   -0.149938
   0.447236,   -0.149979
   0.452261,   -0.150013
   0.457286,   -0.150038
   0.462312,   -0.150055
   0.467337,   -0.150064
   0.472362,   -0.150063
   0.477387,   -0.150054
   0.482412,   -0.150036
   0.487437,   -0.150009
   0.492462,   -0.149972
   0.497487,   -0.149925
   0.502513,   -0.149868
   0.507538,   -0.149801
   0.512563,   -0.149723
   0.517588,   -0.149635
   0.522613,   -0.149535
   0.527638,   -0.149425
   0.532663,   -0.149303
   0.537688,   -0.149169
   0.542714,   -0.149023
   0.547739,   -0.148866
   0.552764,   -0.148696
   0.557789,   -0.148513
   0.562814,   -0.148318
   0.567839,   -0.148109
   0.572864,   -0.147887
   0.577889,   -0.147652
   0.582915,   -0.147403
   0.587940,   -0.147140
   0.592965,   -0.146862
   0.597990,   -0.146571
   0.603015,   -0.146264
   0.608040,   -0.145942
   0.613065,   -0.145606
   0.618090,   -0.145254
   0.623116,   -0.144886
   0.628141,   -0.144502
   0.633166,   -0.144102
   0.638191,   -0.143686
   0.643216,   -0.143253
   0.648241,   -0.142803
   0.653266,   -0.142337
   0.658291,   -0.141853
   0.663317,   -0.141351
   0.668342,   -0.140832
   0.673367,   -0.140295
   0.678392,   -0.139740
   0.683417,   -0.139167
   0.688442,   -0.138575
   0.693467,   -0.137965
   0.698492,   -0.137336
   0.703518,   -0.136688
   0.708543,   -0.136021
   0.713568,   -0.135335
   0.718593,   -0.134629
   0.723618,   -0.133905
   0.728643,   -0.133160
   0.733668,   -0.132397
   0.738693,   -0.131613
   0.743719,   -0.130810
   0.748744,   -0.129988
   0.753769,   -0.129146
   0.758794,   -0.128285
   0.763819,   -0.127405
   0.768844,   -0.126506
   0.773869,   -0.125588
   0.778894,   -0.124652
   0.783920,   -0.123697
   0.788945,   -0.122725
   0.793970,   -0.121736
   0.798995,   -0.120730
   0.804020,   -0.119707
   0.809045,   -0.118670
   0.814070,   -0.117618
   0.819095,   -0.116553
   0.824121,   -0.115476
   0.829146,   -0.114388
   0.834171,   -0.113290
   0.839196,   -0.112185
   0.844221,   -0.111073
   0.849246,   -0.109958
   0.854271,   -0.108842
   0.859296,   -0.107726
   0.864322,   -0.106615
   0.869347,   -0.105512
   0.874372,   -0.104421
   0.879397,   -0.103345
   0.884422,   -0.102291
   0.889447,   -0.101264
   0.894472,   -0.100270
   0.899497,   -0.099316
   0.904523,   -0.098412
   0.909548,   -0.097566
   0.914573,   -0.096790
   0.919598,   -0.096097
   0.924623,   -0.095501
   0.929648,   -0.095019
   0.934673,   -0.094672
   0.939698,   -0.094484
   0.944724,   -0.094484
   0.949749,   -0.094705
   0.954774,   -0.095190
   0.959799,   -0.095992
   0.964824,   -0.097178
   0.969849,   -0.098836
   0.974874,   -0.101087
   0.979899,   -0.104105
   0.984925,   -0.108165
   0.989950,   -0.113761
   0.994975,   -0.122036
   1.000000,    0.000000
