eta, total load
   0.000000, 23473.988980
   0.020408, 23260.599523
   0.040816, 23196.855630
   0.061224, 23102.291598
   0.081633, 22981.266883
   0.102041, 22836.722681
   0.122449, 22670.864432
   0.142857, 22485.434375
   0.163265, 22281.852177
   0.183673, 22061.298587
   0.204082, 21824.770427
   0.224490, 21573.120838
   0.244898, 21307.094785
   0.265306, 21027.376830
   0.285714, 20727.674140
   0.306122, 20413.841927
   0.326531, 20110.135494
   0.346939, 19779.528035
   0.367347, 19438.710432
   0.387755, 19088.727352
   0.408163, 18730.450741
   0.428571, 18364.638024
   0.448980, 17991.951544
   0.469388, 17612.967054
   0.489796, 17228.178306
   0.510204, 16837.917357
   0.530612, 16442.518694
   0.551020, 16042.316106
   0.571429, 15637.477688
   0.591837, 15228.082839
   0.612245, 14814.113618
   0.632653, 14395.442370
   0.653061, 13971.814572
   0.673469, 13542.825398
   0.693878, 13107.887888
   0.714286, 12666.189586
   0.734694, 12216.633045
   0.755102, 11757.753237
   0.775510, 11287.601116
   0.795918, 10803.576225
   0.816327, 10302.180232
   0.836735, 9778.643291
   0.857143, 9226.336755
   0.877551, 8635.806997
   0.897959, 7993.088788
   0.918367, 7276.513813
   0.938776, 6449.926391
   0.959184, 5445.356548
   0.979592, 4101.170464
   1.000000,    0.000000
