eta, total load
   0.000000, 15722.335913
   0.020408, 15579.076784
   0.040816, 15535.361828
   0.061224, 15470.288913
   0.081633, 15386.750273
   0.102041, 15286.681604
   0.122449, 15171.515817
   0.142857, 15042.362482
   0.163265, 14900.098243
   0.183673, 14745.417643
   0.204082, 14578.862303
   0.224490, 14400.835831
   0.244898, 14211.606910
   0.265306, 14011.300728
   0.285714, 13795.195536
   0.306122, 13565.975932
   0.326531, 13338.593666
   0.346939, 13090.077152
   0.367347, 12832.680722
   0.387755, 12567.724277
   0.408163, 12296.238453
   0.428571, 12019.084094
   0.448980, 11736.999523
   0.469388, 11450.624595
   0.489796, 11160.515059
   0.510204, 10867.088583
   0.530612, 10570.761073
   0.551020, 10271.941674
   0.571429, 9970.911241
   0.591837, 9667.886951
   0.612245, 9363.019728
   0.632653, 9056.389244
   0.653061, 8747.996052
   0.673469, 8437.750055
   0.693878, 8125.454218
   0.714286, 7810.781831
   0.734694, 7493.244824
   0.755102, 7172.149327
   0.775510, 6846.532577
   0.795918, 6515.071753
   0.816327, 6175.949230
   0.836735, 5826.647678
   0.857143, 5463.627112
   0.877551, 5081.792286
   0.897959, 4673.560598
   0.918367, 4227.093838
   0.938776, 3722.528977
   0.959184, 3122.322742
   0.979592, 2336.673177
   1.000000,    0.000000
